"","internal.gene_id","gr.row","X","Chr","Start","End","Strand","Length","vectorbase.RU","orthoDB.collapsed","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","display.name","gene.family","gene.family.specific","dmel.blastx.fbpp","dmel.blastx.fbgn","dmel.blastx.annot","dmel.blastx.gene","dmel.blastx.evalues","reason"
"21","gene10353",1,"gene10353","supercont1.113;supercont1.113;supercont1.113;supercont1.113;supercont1.113;supercont1.113;supercont1.113;supercont1.113;supercont1.113","1591368;1591638;1591856;1592193;1593512;1593801;1603717;1606930;1624147","1591578;1591788;1592139;1593263;1593731;1594023;1603758;1607737;1624222","-;-;-;-;-;-;-;-;-",3086,"AAEL004299",NA,NA,NA,NA,NA,"","","","FBpp0080129-FBpp0099733-FBpp0079297-FBpp0080131-FBpp0087745-FBpp0072325","FBgn0012037-FBgn0032536-FBgn0016122-FBgn0032535-FBgn0033366-FBgn0035076","CG8827-CG17988-CG10593-CG16869-CG8196-CG10142","Ance-Ance-3-Acer-Ance-2-Ance-4-Ance-5","6e-135-5e-125-2e-111-1e-53-6e-47-7e-46",""
"22","gene1037",3,"gene1037","supercont1.219;supercont1.219;supercont1.219","1583819;1583947;1591851","1583884;1584988;1592011","+;+;+",1269,"AAEL006734","EOG8FR3H6","FBpp0076000","FBgn0027615","CG6404","CG6404","","","","FBpp0076000-FBpp0076251","FBgn0027615-FBgn0035960","CG6404-CG4942","CG6404-CG4942","1e-171-8e-18",""
"23","gene10494",1,"gene10494","supercont1.37;supercont1.37","2467149;2521302","2469253;2521869","+;+",2673,"AAEL001626","EOG82Z7G7-EOG82Z7G7-EOG82Z7G7","FBpp0297714-FBpp0082720-FBpp0085472","FBgn0033097-FBgn0038412-FBgn0033096","CG9430-CG6898-CG9428","Zip42C.2-Zip89B-Zip42C.1","","","","FBpp0082720-FBpp0085472-FBpp0297714-FBpp0288457-FBpp0088859","FBgn0038412-FBgn0033096-FBgn0033097-FBgn0038312-FBgn0039714","CG6898-CG9428-CG9430-CG4334-CG7816","Zip89B-Zip42C.1-Zip42C.2-Zip88E-Zip99C","3e-99-1e-75-4e-60-2e-24-0.009",""
"24","gene10516",3,"gene10516","supercont1.37;supercont1.37;supercont1.37;supercont1.37","2842352;2843193;2853644;2854153","2842719;2843330;2854087;2854751","+;+;+;+",1549,"AAEL001623","EOG8RZ1RN","FBpp0073561","FBgn0029133","CG1591","REG","","","","FBpp0073561","FBgn0029133","CG1591","REG","9.00E-122",""
"25","gene10528",2,"gene10528","supercont1.810;supercont1.810;supercont1.810;supercont1.810;supercont1.810;supercont1.810;supercont1.810;supercont1.810","16773;17282;28342;38575;40552;54180;66724;66990","17212;17401;31114;40058;40865;55925;66906;67306","-;-;-;-;-;-;-;-",7377,"AAEL013242",NA,NA,NA,NA,NA,"","","","FBpp0084071-FBpp0088478-FBpp0304366","FBgn0000140-FBgn0014141-FBgn0004167","CG6875-CG3937-CG12008","asp-cher-kst","0-6e-06-7e-05",""
"26","gene10561",3,"gene10561","supercont1.213;supercont1.213;supercont1.213","353358;364144;381536","353999;365684;382143","-;-;-",2791,"AAEL006602","EOG8SBHR2","FBpp0110244","FBgn0083972","CG34136","CG34136","","","","FBpp0110244","FBgn0083972","CG34136","CG34136","7.00E-10",""
"27","gene10632",3,"gene10632","supercont1.82;supercont1.82;supercont1.82","2529849;2532059;2533045","2530172;2533000;2534039","+;+;+",2261,"AAEL003230","EOG8R7Z2V","FBpp0083740","FBgn0027526","CG6697","Ublcp1","","","","FBpp0083740","FBgn0027526","CG6697","Ublcp1","1.00E-155",""
"28","gene10641",3,"gene10641","supercont1.82;supercont1.82;supercont1.82","349096;356273;357271","349380;356394;357906","+;+;+",1043,"AAEL003259","EOG8R7Z3T","FBpp0087031","FBgn0033728","CG8505","Cpr49Ae","","","","FBpp0087031-FBpp0076704-FBpp0112271-FBpp0087286-FBpp0087033-FBpp0078062-FBpp0076732-FBpp0075923-FBpp0076731","FBgn0033728-FBgn0035686-FBgn0050045-FBgn0033597-FBgn0033730-FBgn0000551-FBgn0052405-FBgn0036110-FBgn0052404","CG8505-CG12330-CG30045-CG9079-CG8511-CG7673-CG32405-CG18348-CG32404","Cpr49Ae-Cpr65Az-Cpr49Aa-Cpr47Ea-Cpr49Ag-Edg78E-Cpr65Av-Cpr67Fb-Cpr65Aw","1e-50-2e-20-2e-20-8e-18-2e-17-3e-15-7e-15-3e-14-3e-14",""
"29","gene10659",1,"gene10659","supercont1.82;supercont1.82;supercont1.82;supercont1.82","1819751;1820383;1829213;1837646","1820324;1821214;1829557;1837685","-;-;-;-",1791,"AAEL003278","EOG8J140P","FBpp0292542","FBgn0039048","CG17111","CG17111","","","","FBpp0292542-FBpp0085151-FBpp0290097-FBpp0084851-FBpp0309064","FBgn0039048-FBgn0039851-FBgn0039852-FBgn0039704-FBgn0029128","CG17111-CG12063-CG1499-CG7802-CG17131","CG17111-mey-nyo-neo-tyn","6e-86-6e-21-1e-20-2e-17-8e-17",""
"30","gene10661",1,"gene10661","supercont1.82;supercont1.82;supercont1.82;supercont1.82;supercont1.82","2599102;2600397;2600668;2600959;2608132","2599606;2600602;2600893;2601129;2608194","-;-;-;-;-",1171,"AAEL003279",NA,NA,NA,NA,NA,"","","","FBpp0078543-FBpp0082539-FBpp0081237-FBpp0082425-FBpp0084481-FBpp0311347","FBgn0027930-FBgn0000533-FBgn0037515-FBgn0038250-FBgn0039494-FBgn0039759","CG1102-CG4920-CG3066-CG3505-CG5896-CG9733","MP1-ea-Sp7-CG3505-grass-CG9733","2e-42-3e-37-8e-35-6e-34-6e-34-3e-33",""
"31","gene10669",1,"gene10669","supercont1.687;supercont1.687;supercont1.687;supercont1.687;supercont1.687","531965;569857;577325;577735;581705","532634;570304;577641;577953;581717","+;+;+;+;+",1667,"AAEL012382",NA,NA,NA,NA,NA,"","","","FBpp0086083-FBpp0086082-FBpp0086085-FBpp0288787","FBgn0050104-FBgn0034225-FBgn0050103-FBgn0259101","CG30104-CG4827-CG30103-CG42249","NT5E-2-veil-CG30103-CG42249","1e-15-2e-12-5e-08-7e-05",""
"32","gene1067",1,"gene1067","supercont1.738;supercont1.738;supercont1.738;supercont1.738;supercont1.738","110390;121225;129449;129649;130826","121143;121477;129575;129804;141806","+;+;+;+;+",22271,"AAEL012761",NA,NA,NA,NA,NA,"","","","FBpp0082136-FBpp0085074-FBpp0082086-FBpp0081379-FBpp0300785-FBpp0113050-FBpp0082413-FBpp0070412-FBpp0076543","FBgn0038076-FBgn0015032-FBgn0038007-FBgn0037601-FBgn0038006-FBgn0034053-FBgn0038236-FBgn0005670-FBgn0015033","CG6802-CG1438-CG10093-CG9716-CG10094-CG8302-CG3360-CG3656-CG4321","Cyp313a4-Cyp4c3-Cyp313a3-Cyp313b1-Cyp313a2-Cyp4aa1-Cyp313a1-Cyp4d1-Cyp4d8","1e-56-2e-52-5e-51-5e-49-6e-49-9e-49-5e-48-6e-48-8e-48",""
"33","gene10686",4,"gene10686","supercont1.128;supercont1.128;supercont1.128;supercont1.128","724444;822280;834938;838373","726996;822417;835143;843600","+;+;+;+",8125,"AAEL004717","EOG8N5ZNR","FBpp0079652","FBgn0027491","CG5387","Cdk5alpha","","","","FBpp0079652","FBgn0027491","CG5387","Cdk5alpha","3.00E-96",""
"34","gene10691",3,"gene10691","supercont1.128;supercont1.128;supercont1.128","300249;309754;315534","301050;310295;317310","+;+;+",3121,"AAEL004728","EOG8SBHQ0","FBpp0080732","FBgn0032726","CG10621","CG10621","","","","FBpp0080732-FBpp0080731","FBgn0032726-FBgn0032727","CG10621-CG10623","CG10621-CG10623","1e-148-1e-109",""
"35","gene10698",1,"gene10698","supercont1.128;supercont1.128;supercont1.128;supercont1.128;supercont1.128","259584;259886;260233;260414;260516","259817;260165;260349;260452;260734","-;-;-;-;-",889,"AAEL004729",NA,NA,NA,NA,NA,"","","","FBpp0086684-FBpp0083433","FBgn0033931-FBgn0038859","CG13939-CG17284","Obp50e-Obp93a","5e-05-3e-04",""
"36","gene10708",3,"gene10708","supercont1.128;supercont1.128;supercont1.128;supercont1.128;supercont1.128;supercont1.128;supercont1.128;supercont1.128","1250525;1262421;1262662;1262998;1304106;1332760;1333543;1333580","1251991;1262599;1262936;1263392;1305543;1333535;1333577;1333737","-;-;-;-;-;-;-;-",4723,"AAEL004710","EOG8577Z0","FBpp0077037","FBgn0014395","CG14620","tilB","","","","FBpp0076580","FBgn0052380","CG32380","SMSr","4.00E-60",""
"37","gene10718",3,"gene10718","supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182","1177382;1177827;1198496;1203800;1208845;1270207","1177747;1177903;1199056;1203978;1209296;1270353","-;-;-;-;-;-",1782,"AAEL005957",NA,NA,NA,NA,NA,"","","","FBpp0074636-FBpp0078767","FBgn0036939-FBgn0031735","CG7365-CG11029","CG7365-CG11029","7e-94-1e-80",""
"38","gene10872",1,"gene10872","supercont1.71;supercont1.71;supercont1.71;supercont1.71","1144791;1162491;1162739;1163214","1146751;1162670;1163150;1163947","-;-;-;-",3287,"AAEL002917",NA,NA,NA,NA,NA,"","","","FBpp0078912-FBpp0078913-FBpp0070142-FBpp0074289-FBpp0084238-FBpp0112997-FBpp0084231","FBgn0031801-FBgn0031800-FBgn0025620-FBgn0030895-FBgn0039312-FBgn0039311-FBgn0039321","CG9498-CG9497-CG13360-CG7135-CG10514-CG10513-CG10550","CG9498-CG9497-CG13360-CG7135-CG10514-CG10513-CG10550","1e-57-5e-53-1e-52-6e-51-5e-41-3e-35-2e-34",""
"39","gene1092",3,"gene1092","supercont1.301;supercont1.301","684205;715600","685535;715776","+;+",1508,"AAEL017380",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"40","gene10966",3,"gene10966","supercont1.399;supercont1.399;supercont1.399","1012379;1026096;1035028","1013039;1027157;1035203","+;+;+",1899,"AAEL009480",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"41","gene10972",3,"gene10972","supercont1.399;supercont1.399;supercont1.399;supercont1.399","962377;962971;963862;989502","962906;963279;964017;989872","-;-;-;-",1366,"AAEL009483","EOG8SJ86N","FBpp0073388","FBgn0030309","CG1572","CG1572","","","","FBpp0073388","FBgn0030309","CG1572","CG1572","3.00E-41",""
"42","gene10974",1,"gene10974","supercont1.399;supercont1.399;supercont1.399","866296;866932;937986","866868;867055;938803","-;-;-",1515,"AAEL009481",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"43","gene11038",3,"gene11038","supercont1.242;supercont1.242;supercont1.242;supercont1.242;supercont1.242","1039012;1039167;1039778;1040279;1045435","1039050;1039719;1039942;1040409;1046228","+;+;+;+;+",1682,"AAEL007196","EOG8KSSB3","FBpp0072302","FBgn0035088","CG3776","CG3776","","","","FBpp0072302","FBgn0035088","CG3776","CG3776","5.00E-88",""
"44","gene11051",3,"gene11051","supercont1.352","560350","560628","+",279,"AAEL016994",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"45","gene11059",3,"gene11059","supercont1.352;supercont1.352;supercont1.352;supercont1.352;supercont1.352","502263;535169;544150;559204;559652","502847;535335;544230;559356;559774","+;+;+;+;+",1109,"AAEL008844","EOG8N5ZQ1","FBpp0112436","FBgn0020908","CG15848","Scp1","","","","FBpp0112436-FBpp0082806-FBpp0309294-FBpp0307121","FBgn0020908-FBgn0020907-FBgn0265595-FBgn0030897","CG15848-CG14904-CG44422-CG5744","Scp1-Scp2-CG44422-Frq1","2e-88-1e-05-2e-04-0.001",""
"46","gene11156",3,"gene11156","supercont1.288","252007","252525","+",519,"AAEL007905",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"47","gene11223",1,"gene11223","supercont1.644;supercont1.644","469477;471322","471258;471498","-;-",1959,"AAEL012015","EOG8Q5CF6","FBpp0304166","FBgn0024804","CG17023","Dbp80","","","","FBpp0112438-FBpp0081324-FBpp0078808","FBgn0024804-FBgn0037573-FBgn0001942","CG17023-CG7483-CG9075","Dbp80-eIF4AIII-eIF-4a","0-1e-85-3e-65",""
"48","gene11357",3,"gene11357","supercont1.560;supercont1.560","282758;283124","283050;285203","+;+",2373,"AAEL011255","EOG8MD0R1","FBpp0082867","FBgn0038473","CG3983","Ns1","","","","FBpp0082867-FBpp0086063-FBpp0070284-FBpp0083715-FBpp0080939-FBpp0079327-FBpp0082163-FBpp0084012","FBgn0038473-FBgn0034243-FBgn0266284-FBgn0039020-FBgn0032882-FBgn0032031-FBgn0038106-FBgn0039189","CG3983-CG6501-CG14788-CG17141-CG9320-CG13390-CG7488-CG18528","Ns1-Ns2-Ns3-CG17141-Ns4-CG13390-CG7488-CG18528","8e-154-8e-43-3e-21-3e-12-1e-09-1e-04-1e-04-0.004",""
"49","gene11388",3,"gene11388","supercont1.21;supercont1.21","2611829;2618675","2612224;2620335","-;-",2057,"AAEL001044","EOG82FW87","FBpp0075168","FBgn0027080","CG4561","Aats-tyr","","","","FBpp0075168-FBpp0087757","FBgn0027080-FBgn0033351","CG4561-CG8235","Aats-tyr-CG8235","0-4e-28",""
"50","gene11390",3,"gene11390","supercont1.21;supercont1.21;supercont1.21;supercont1.21;supercont1.21;supercont1.21","2648077;2650774;2651422;2651754;2652381;2663729","2650712;2651411;2651696;2652321;2652546;2664097","-;-;-;-;-;-",4652,"AAEL001020","EOG86T5SH-EOG86T5SH","FBpp0073422-FBpp0307825","FBgn0030362-FBgn0038257","CG1803-CG7390","regucalcin-smp-30","","","","FBpp0073422-FBpp0307825","FBgn0030362-FBgn0038257","CG1803-CG7390","regucalcin-smp-30","3e-91-5e-82",""
"51","gene11414",3,"gene11414","supercont1.21;supercont1.21;supercont1.21;supercont1.21;supercont1.21","3333630;3344991;3345384;3346448;3346831","3333848;3345320;3346391;3346773;3347551","+;+;+;+;+",2604,"AAEL001047","EOG80S36B","FBpp0289879","FBgn0260388","CG42514","CG42514","","","","FBpp0289879-FBpp0073756-FBpp0087664-FBpp0293860-FBpp0087701-FBpp0113090","FBgn0260388-FBgn0030576-FBgn0050344-FBgn0050345-FBgn0033388-FBgn0033387","CG42514-CG15890-CG30344-CG30345-CG8046-CG8008","CG42514-CG15890-CG30344-CG30345-CG8046-CG8008","6e-161-8e-56-3e-35-9e-32-4e-22-2e-16",""
"52","gene11527",1,"gene11527","supercont1.11","4502272","4504994","+",2723,"AAEL000575","EOG81VNTH","FBpp0288788","FBgn0259101","CG42249","CG42249","","","","FBpp0288787-FBpp0086083-FBpp0086082-FBpp0086085-FBpp0087375","FBgn0259101-FBgn0050104-FBgn0034225-FBgn0050103-FBgn0033538","CG42249-CG30104-CG4827-CG30103-CG11883","CG42249-NT5E-2-veil-CG30103-CG11883","1e-165-4e-116-3e-109-7e-105-4e-31",""
"53","gene11602",1,"gene11602","supercont1.294;supercont1.294;supercont1.294","1184738;1186210;1186359","1185655;1186285;1187255","-;-;-",1891,"AAEL008013","EOG8K3PP3-EOG8K3PP3","FBpp0078304-FBpp0311428","FBgn0010403-FBgn0011281","CG11422-CG11421","Obp83b-Obp83a","AaegObp38","OBP","OBP","FBpp0078305-FBpp0078304-FBpp0075687-FBpp0085604-FBpp0085637-FBpp0085644","FBgn0011281-FBgn0010403-FBgn0011279-FBgn0034509-FBgn0034475-FBgn0034474","CG11421-CG11422-CG10436-CG13421-CG13874-CG13873","Obp83a-Obp83b-Obp69a-Obp57c-Obp56h-Obp56g","4e-46-1e-45-2e-10-2e-05-2e-04-3e-04","Obp paper"
"54","gene11637",3,"gene11637","supercont1.140;supercont1.140;supercont1.140;supercont1.140","12373;13903;14153;14333","13200;13934;14273;14970","+;+;+;+",1619,"AAEL005059","EOG8CVJZT","FBpp0079897","FBgn0032394","CG6746","CG6746","","","","FBpp0079897-FBpp0080097","FBgn0032394-FBgn0032524","CG6746-CG9267","CG6746-CG9267","4e-71-8e-25",""
