internal.gene.id,Fe_An_SF,Ma_An,FM,display.name,vectorbase.RU,complete?
gene14816,10.03642843,1.130436266,8.878367348,AaegOr115,AAEL017361,
gene3152,3.769467207,0.427208494,8.823483752,AaegOr101,AAEL017050,
gene10648,16.94059226,1.944932329,8.710119119,AaegOr36,AAEL016981,
gene14667,12.04060324,1.413765284,8.516691829,AaegOr72,AAEL017129,
gene15909,10.08748744,1.212830984,8.317306841,AaegOr116,AAEL018086,
gene4613,41.68128221,5.051759444,8.250844617,AaegOr52,AAEL013507,
gene15193,2.262766154,0.299437767,7.556715975,AaegOr117,AAEL017377,
gene11112,14.74833599,1.99019032,7.410515388,AaegOr78,AAEL013423,
gene15844,3.675479254,0.540129006,6.804817398,AaegOr53,AAEL018079,
gene7514,2.468653307,0.374895301,6.58491397,AaegOr110,AAEL016983,
gene9609,14.97040936,2.326410738,6.434981197,AaegOr122,AAEL013563,
gene10511,2.065952928,0.334093903,6.183749263,AaegOr124,AAEL001617,
gene10111,37.95145185,6.463909167,5.871284832,AaegOr39,AAEL006345,
gene9818,3.239274533,0.569680847,5.686121536,AaegOr86,AAEL017246,
gene4014,28.0032269,4.941021081,5.66749796,AaegOr13,AAEL008368,
gene2867,0.120813647,0.0214917,5.621409436,AaegOr49,AAEL001303,
gene3236,17.68852624,3.185083774,5.553551335,AaegOr30,AAEL010409,
gene3548,6.492938977,1.176328799,5.519663365,AaegOr95,AAEL017495,
gene11108,58.47262519,10.85861219,5.384907772,AaegOr79,AAEL013420,
gene14494,3026.694694,570.9605955,5.301057057,AaegOr7,AAEL005776,
gene13310,9.859620538,1.873556956,5.262514442,AaegOr126,AAEL017370,
gene15879,13.90903485,2.651805832,5.245118129,AaegOr64,AAEL000614,
gene5531,19.03461502,3.636529662,5.234280149,AaegOr85,AAEL004218,
gene9608,21.52642269,4.134833719,5.206115686,AaegOr121,AAEL017104,
gene7650,20.69029428,4.015801491,5.152220379,AaegOr91,AAEL017149,
gene11109,5.608262394,1.145437019,4.896177004,AaegOr76,AAEL013418,
gene15754,10.34693633,2.188326269,4.728242071,AaegOr82,RU245,
gene15881,5.937301205,1.417958318,4.187218433,AaegOr118,AAEL018107,
gene4859,89.51083243,21.49569852,4.164127644,AaegOr11,AAEL011583,
gene7642,2.842549992,0.722398416,3.934878494,AaegOr93,AAEL017296,
gene1353,15.06821867,3.856239114,3.907490751,AaegOr63,AAEL000628,
gene15806,49.93404264,13.78778204,3.621615319,AaegOr71,AAEL017564,
gene9627,4.592108964,1.356281627,3.385807838,AaegOr25,AAEL003629,
gene2322,8.197151566,2.424556911,3.380886432,AaegOr125,AAEL013893,
gene3233,10.81662825,3.241820731,3.336590498,AaegOr26,AAEL010428,
gene3211,15.52419258,4.721769743,3.287791109,AaegOr96,AAEL017427,
gene1506,6.42280412,1.964831047,3.268883668,AaegOr102,AAEL017143,
gene15967,16.96661628,5.347425128,3.172857192,AaegOr38,AAEL005489,
gene14626,4.982868285,1.619630386,3.076546556,AaegOr24,AAEL017557,
gene3240,7.854143735,2.55965699,3.068436031,AaegOr55,AAEL010415,
gene3256,20.25856077,6.635507914,3.053053517,AaegOr27,AAEL010418,
gene15845,6.888796385,2.355383454,2.924702716,AaegOr51,AAEL018080,
gene3248,73.09629509,25.5950526,2.855875947,AaegOr47,AAEL017079,
gene5566,5.739006398,2.034464601,2.820892728,AaegOr109,AAEL017028,
gene15816,6.717778047,2.467126659,2.722915754,AaegOr22,AAEL002479,
gene2940,2.230263778,0.824965016,2.703464675,AaegOr98,AAEL017463,
gene8519,6.241139082,2.403647372,2.596528573,AaegOr19,AAEL017017,
gene15842,4.109673553,1.585877605,2.591419124,AaegOr106,AAEL017105,
gene9635,33.48235448,13.5365455,2.473478518,AaegOr66,AAEL017227,
gene12976,20.55851464,8.761446152,2.346475032,AaegOr23,AAEL001510,
gene15824,5.605026534,2.394441188,2.340849532,AaegOr44,AAEL006465,
gene7459,41.78737141,18.91739363,2.208939151,AaegOr4,AAEL015147,
gene15752,8.731438564,3.984446132,2.191380753,AaegOr83,RU243,
gene9269,50.02896953,23.38390149,2.139462038,AaegOr12,AAEL009982,
gene10775,0.169777902,0.083085509,2.04341172,AaegOr1,AAEL016970,
gene8965,18.0074599,8.818604983,2.041985091,AaegOr10,AAEL006003,
gene12416,8.07398641,3.982581726,2.027324727,AaegOr15,AAEL008448,
gene8476,0.996789804,0.495472603,2.011796008,AaegOr48,AAEL011895,
gene12411,6.142281543,3.119299135,1.969122318,AaegOr14,AAEL008442,
gene12238,22.3985778,11.56385513,1.936947285,AaegOr69,AAEL001221,
gene3257,11.26620219,5.89450824,1.911304851,AaegOr50,AAEL010426,
gene14502,0.506516422,0.265468347,1.90801061,AaegOr40,AAEL005767,
gene14815,0.972703668,0.519564027,1.872153609,AaegOr114,AAEL017219,
gene8583,4.210446011,2.296525775,1.833398108,AaegOr33,AAEL017362,
gene6640,0.043239603,0.024118246,1.792817092,AaegOr128,AAEL005680,
gene3038,1.362012873,0.778010196,1.750636276,AaegOr43,AAEL017294,
gene5692,16.46441541,9.429157605,1.746117321,AaegOr31,AAEL013217,
gene1361,8.715325962,5.014906741,1.737883955,AaegOr45,AAEL000613,
gene15843,3.551041201,2.087916006,1.700758647,AaegOr57,AAEL010410,
gene7651,16.96649101,10.23662387,1.657430343,AaegOr70,AAEL001224,
gene8515,7.678930098,4.690835793,1.637006802,AaegOr16,AAEL007110,
gene15756,2.717906041,1.712864109,1.586761044,AaegOr3,AAEL017138,
gene14981,3.333669488,2.104420986,1.584126708,AaegOr119,AAEL017009,
gene1360,1.609674503,1.02392569,1.572061839,AaegOr42,AAEL000616,
gene8964,12.28733022,8.143580185,1.508836402,AaegOr2,AAEL005999,
gene11313,0.379750226,0.255497816,1.486314962,AaegOr37,AAEL003369,
gene5545,14.54307405,10.2889343,1.413467482,AaegOr80,AAEL017221,
gene3113,7.018428741,4.997968456,1.40425631,AaegOr28,AAEL000391,
gene14620,12.56013204,9.121300003,1.377011175,AaegOr20,AAEL004966,
gene14944,7.805067942,5.740404816,1.359672043,AaegOr41,AAEL003045,
gene5536,11.15638471,8.710340189,1.28082078,AaegOr81,AAEL017305,
gene14636,8.348148437,6.563869291,1.271833437,AaegOr21,AAEL017398,
gene5517,1.593182012,1.335857157,1.19262902,AaegOr67,AAEL017260,
gene15840,10.7087743,9.294798588,1.152125482,AaegOr18,AAEL017510,
gene195,0.72917095,0.64819104,1.124932165,AaegOr65,AAEL015506,
gene1055,4.343164779,3.973378392,1.093065988,AaegOr17,AAEL010702,
gene2482,2.052472016,1.954751843,1.049991089,AaegOr58,AAEL006202,
gene13580,0.179019232,0.182606014,0.980357811,AaegOr90,AAEL017037,
gene7502,4.690551041,5.044484456,0.929837545,AaegOr6,AAEL017548,
gene11111,2.391132173,2.758741955,0.866747312,AaegOr77,AAEL013422,
gene11294,0.227474845,0.273124287,0.832862018,AaegOr34,AAEL003395,
gene15724,0.034129762,0.061799245,0.552268272,AaegOr73,AAEL006192,
gene13937,0.012904749,0.027320384,0.472348744,AaegOr8,AAEL012254,
gene2207,0.025913241,0.059361592,0.436532115,AaegOr46,AAEL017174,
gene2478,0.010001571,0.085927079,0.116396028,AaegOr74,AAEL006195,
gene4361,0.002605864,0.684032442,0.003809562,AaegOr99,AAEL017236,
gene15825,0,0.074418911,0,AaegOr129,RU285,
gene10774,0,0,NA,AaegOr35,AAEL015310,
gene11110,0,0,NA,AaegOr75,AAEL013419,
gene2980,0,0,NA,AaegOr127,AAEL017271,
gene9984,0,0,NA,AaegOr60,AAEL017041,
