"","vectorbase.RU","internal.gene_id.x","display.name.x","gene.family.x","gene.family.specific.x","fbpp","odb8_og_id","internal.gene_id.y","display.name.y","gene.family.y","gene.family.specific.y","fbgn","annotation_ID","gene_symbol"
"40","AAEL000031","gene15662","AaegIr41a.2","IR","IR","FBpp0290822","EOG8HDWK4","gene15662","AaegIr41a.2","IR","IR","FBgn0260874","CG42584","Ir76a"
"41","AAEL000031","gene15662","AaegIr41a.2","IR","IR","FBpp0307916","EOG8HDWK4","gene15662","AaegIr41a.2","IR","IR","FBgn0040849","CG33492","Ir41a"
"42","AAEL000032","gene8151","","","","FBpp0071087","EOG8JHG79","gene8151","","","","FBgn0261592","CG10944","RpS6"
"43","AAEL000033","gene8109","","","","FBpp0073007","EOG85B463","gene8109","","","","FBgn0035462","CG1120","IntS10"
"44","AAEL000034","gene8089","","","","FBpp0079802","EOG8C5G90","gene8089","","","","FBgn0020270","CG16928","mre11"
"45","AAEL000035","gene8100","AaegObp57","OBP","OBP","FBpp0079083","EOG8F20VX","gene8100","AaegObp57","OBP","OBP","FBgn0011283","CG6641","Obp28a"
"46","AAEL000035","gene8100","AaegObp57","OBP","OBP","FBpp0076995","EOG8F20VX","gene8100","AaegObp57","OBP","OBP","FBgn0011280","CG1668","Obp19d"
"47","AAEL000036","gene8093","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","AAEL000037","gene8140","","","","FBpp0081237","EOG8STVX0","gene8140","","","","FBgn0037515","CG3066","Sp7"
"49","AAEL000037","gene8140","","","","FBpp0085000","EOG8STVX0","gene8140","","","","FBgn0039759","CG9733","CG9733"
"50","AAEL000037","gene8140","","","","FBpp0083832","EOG8STVX0","gene8140","","","","FBgn0039102","CG16705","SPE"
"51","AAEL000037","gene8140","","","","FBpp0290158","EOG8STVX0","gene8140","","","","FBgn0027930","CG1102","MP1"
"52","AAEL000037","gene8140","","","","FBpp0082539","EOG8STVX0","gene8140","","","","FBgn0000533","CG4920","ea"
"53","AAEL000037","gene8140","","","","FBpp0304083","EOG8STVX0","gene8140","","","","FBgn0085438","CG34409","CG34409"
"54","AAEL000038","gene8150","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","AAEL000039","gene15674","AaegIr41o","IR","IR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","AAEL000041","gene8095","","","","FBpp0088237","EOG8JDKZN","gene8095","","","","FBgn0052006","CG32006","CG32006"
"57","AAEL000042","gene8145","","","","FBpp0081841","EOG8NGKD1","gene8145","","","","FBgn0037882","CG17187","CG17187"
"58","AAEL000043","gene15670","AaegGr5","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","AAEL000044","gene8099","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","AAEL000045","gene8170","","","","FBpp0082367","EOG8PRWH7","gene8170","","","","FBgn0038209","CG9722","CG9722"
"61","AAEL000045","gene8170","","","","FBpp0086926","EOG8PRWH7","gene8170","","","","FBgn0025692","CG3814","CG3814"
"62","AAEL000045","gene8170","","","","FBpp0088814","EOG8PRWH7","gene8170","","","","FBgn0013305","CG3798","Nmda1"
"63","AAEL000046","gene8127","","","","FBpp0076825","EOG86X21X","gene8127","","","","FBgn0052418","CG32418","vito"
"64","AAEL000047","gene8090","AaegIr41i","IR","IR","FBpp0307916","EOG8HDWK4","gene8090","AaegIr41i","IR","IR","FBgn0040849","CG33492","Ir41a"
"65","AAEL000047","gene8090","AaegIr41i","IR","IR","FBpp0290822","EOG8HDWK4","gene8090","AaegIr41i","IR","IR","FBgn0260874","CG42584","Ir76a"
"66","AAEL000048","gene15665","AaegGr4","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","AAEL000049","gene8179","","","","FBpp0077327","EOG8TXFJ4","gene8179","","","","FBgn0031484","CG3165","CG3165"
"68","AAEL000050","gene8155","","","","FBpp0071894","EOG8X6G20","gene8155","","","","FBgn0010622","CG9893","l(2)06496"
"69","AAEL000051","gene8092","AaegObp3","OBP","OBP","FBpp0297995","EOG8RBTBJ","gene8092","AaegObp3","OBP","OBP","FBgn0031109","CG11748","Obp19a"
"70","AAEL000053","gene8124","","","","FBpp0076242","EOG8RFPJ4","gene8124","","","","FBgn0035945","CG5026","CG5026"
"71","AAEL000054","gene8147","","","","FBpp0082409","EOG8QJVC9","gene8147","","","","FBgn0003862","CG8651","trx"
"72","AAEL000055","gene8173","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","AAEL000056","gene8125","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","AAEL000057","gene8143","","","","FBpp0303187","EOG8NS62S","gene8143","","","","FBgn0262473","CG5490","Tl"
"75","AAEL000058","gene8088","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","AAEL000059","gene8176","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","AAEL000060","gene15673","AaegGr7","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","AAEL000061","gene8097","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","AAEL000062","gene8091","","","","FBpp0303100","EOG8CC6RG","gene8091","","","","FBgn0024150","CG10564","Ac78C"
"80","AAEL000063","gene15664","AaegIr41p.1","IR","IR","FBpp0307916","EOG8HDWK4","gene15664","AaegIr41p.1","IR","IR","FBgn0040849","CG33492","Ir41a"
"81","AAEL000063","gene15664","AaegIr41p.1","IR","IR","FBpp0290822","EOG8HDWK4","gene15664","AaegIr41p.1","IR","IR","FBgn0260874","CG42584","Ir76a"
"82","AAEL000064","gene8171","","","","FBpp0082191","EOG8323PV","gene8171","","","","FBgn0041710","CG18550","yellow-f"
"83","AAEL000064","gene8171","","","","FBpp0082190","EOG8323PV","gene8171","","","","FBgn0038105","CG8063","yellow-f2"
"84","AAEL000065","gene8136","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","AAEL000066","gene8156","AaegIr41k","IR","IR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","AAEL000067","gene8169","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","AAEL000068","gene8106","","","","FBpp0081845","EOG81VNW0","gene8106","","","","FBgn0086472","CG6684","RpS25"
"88","AAEL000069","gene15667","AaegGr8P","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","AAEL000070","gene8130","","","","FBpp0112315","EOG88D3KQ","gene8130","","","","FBgn0051342","CG31342","CG31342"
"90","AAEL000071","gene8154","AaegObp2","OBP","OBP","FBpp0297995","EOG8RBTBJ","gene8154","AaegObp2","OBP","OBP","FBgn0031109","CG11748","Obp19a"
"91","AAEL000072","gene8133","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","AAEL000073","gene8132","AaegObp4","OBP","OBP","FBpp0297995","EOG8RBTBJ","gene8132","AaegObp4","OBP","OBP","FBgn0031109","CG11748","Obp19a"
"93","AAEL000074","gene8101","","","","FBpp0082539","EOG8STVX0","gene8101","","","","FBgn0000533","CG4920","ea"
"94","AAEL000074","gene8101","","","","FBpp0304083","EOG8STVX0","gene8101","","","","FBgn0085438","CG34409","CG34409"
"95","AAEL000074","gene8101","","","","FBpp0081237","EOG8STVX0","gene8101","","","","FBgn0037515","CG3066","Sp7"
"96","AAEL000074","gene8101","","","","FBpp0083832","EOG8STVX0","gene8101","","","","FBgn0039102","CG16705","SPE"
"97","AAEL000074","gene8101","","","","FBpp0290158","EOG8STVX0","gene8101","","","","FBgn0027930","CG1102","MP1"
"98","AAEL000074","gene8101","","","","FBpp0085000","EOG8STVX0","gene8101","","","","FBgn0039759","CG9733","CG9733"
"99","AAEL000075","gene15666","AaegGr9","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","AAEL000076","gene8165","","","","FBpp0084729","EOG8KWNK1","gene8165","","","","FBgn0039627","CG11837","CG11837"
"101","AAEL000077","gene8121","","","","FBpp0081847","EOG8RFPJV","gene8121","","","","FBgn0037875","CG6672","ZnT86D"
"102","AAEL000078","gene8166","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","AAEL000079","gene8115","","","","FBpp0303614","EOG8S1WZB","gene8115","","","","FBgn0051635","CG31635","CG31635"
"104","AAEL000080","gene8146","","","","FBpp0085878","EOG8DRD3S","gene8146","","","","FBgn0034356","CG10924","CG10924"
"105","AAEL000080","gene8146","","","","FBpp0085880","EOG8DRD3S","gene8146","","","","FBgn0003067","CG17725","Pepck"
"106","AAEL000081","gene8129","","","","FBpp0089153","EOG8B01DM","gene8129","","","","FBgn0016983","CG8571","smid"
"107","AAEL000082","gene15669","AaegGr10","GR","GR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","AAEL000083","gene8134","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","AAEL000084","gene8139","","","","FBpp0083354","EOG879J11","gene8139","","","","FBgn0023212","CG4204","EloB"
"110","AAEL000085","gene8087","","","","FBpp0070206","EOG8QRKX8","gene8087","","","","FBgn0029573","CG14770","CG14770"
"111","AAEL000086","gene8164","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","AAEL000087","gene8178","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","AAEL000088","gene8152","","","","FBpp0082568","EOG8BP436","gene8152","","","","FBgn0026634","CG6177","ldlCp"
"114","AAEL000089","gene8161","AaegIr41n","IR","IR","FBpp0290822","EOG8HDWK4","gene8161","AaegIr41n","IR","IR","FBgn0260874","CG42584","Ir76a"
"115","AAEL000089","gene8161","AaegIr41n","IR","IR","FBpp0307916","EOG8HDWK4","gene8161","AaegIr41n","IR","IR","FBgn0040849","CG33492","Ir41a"
"116","AAEL000090","gene8117","","","","FBpp0073895","EOG85F0FM","gene8117","","","","FBgn0040285","CG9195","Scamp"
"117","AAEL000091","gene8123","","","","FBpp0082065","EOG8FJC1X","gene8123","","","","FBgn0029512","CG12276","Aos1"
"118","AAEL000092","gene8167","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","AAEL000093","gene8177","","","","FBpp0303201","EOG834ZXC","gene8177","","","","FBgn0004390","CG6721","RasGAP1"
"120","AAEL000094","gene8168","","","","FBpp0070194","EOG8MPMG4","gene8168","","","","FBgn0040359","CG11380","CG11380"
"121","AAEL000095","gene8158","AaegIr41d.3","IR","IR","FBpp0307916","EOG8HDWK4","gene8158","AaegIr41d.3","IR","IR","FBgn0040849","CG33492","Ir41a"
"122","AAEL000095","gene8158","AaegIr41d.3","IR","IR","FBpp0290822","EOG8HDWK4","gene8158","AaegIr41d.3","IR","IR","FBgn0260874","CG42584","Ir76a"
"123","AAEL000096","gene8113","","","","FBpp0075968","EOG8FR3J7","gene8113","","","","FBgn0036121","CG6310","CG6310"
"124","AAEL000097","gene8131","","","","FBpp0082060","EOG8BS0BP","gene8131","","","","FBgn0038045","CG5232","NANS"
"125","AAEL000098","gene8135","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","AAEL000099","gene8111","","","","FBpp0081237","EOG8STVX0","gene8111","","","","FBgn0037515","CG3066","Sp7"
"127","AAEL000099","gene8111","","","","FBpp0082539","EOG8STVX0","gene8111","","","","FBgn0000533","CG4920","ea"
"128","AAEL000099","gene8111","","","","FBpp0290158","EOG8STVX0","gene8111","","","","FBgn0027930","CG1102","MP1"
"129","AAEL000099","gene8111","","","","FBpp0085000","EOG8STVX0","gene8111","","","","FBgn0039759","CG9733","CG9733"
"130","AAEL000099","gene8111","","","","FBpp0304083","EOG8STVX0","gene8111","","","","FBgn0085438","CG34409","CG34409"
"131","AAEL000099","gene8111","","","","FBpp0083832","EOG8STVX0","gene8111","","","","FBgn0039102","CG16705","SPE"
"132","AAEL000100","gene8102","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","AAEL000101","gene2907","","","","FBpp0083935","EOG82NMQX","gene2907","","","","FBgn0039156","CG6178","CG6178"
"134","AAEL000102","gene2909","","","","FBpp0112127","EOG8XSPG3","gene2909","","","","FBgn0037819","CG14688","CG14688"
"135","AAEL000103","gene2914","","","","FBpp0079594","EOG8577ZS","gene2914","","","","FBgn0032233","CG13140","dpr19"
"136","AAEL000104","gene2932","","","","FBpp0075193","EOG8H7536","gene2932","","","","FBgn0044028","CG13076","Notum"
"137","AAEL000105","gene2919","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","AAEL000106","gene2938","","","","FBpp0077889","EOG8GMXP0","gene2938","","","","FBgn0036987","CG5274","CG5274"
"139","AAEL000107","gene2947","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","AAEL000108","gene2918","","","","FBpp0076362","EOG8JQ6P4","gene2918","","","","FBgn0035915","CG6372","S-Lap1"
"141","AAEL000108","gene2918","","","","FBpp0076363","EOG8JQ6P4","gene2918","","","","FBgn0052351","CG32351","S-Lap2"
"142","AAEL000109","gene2944","","","","FBpp0078463","EOG8FBMJX","gene2944","","","","FBgn0037305","CG12173","CG12173"
"143","AAEL000111","gene2935","","","","FBpp0081507","EOG8MSGQC","gene2935","","","","FBgn0037687","CG8132","CG8132"
"144","AAEL000112","gene2908","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","AAEL000113","gene2930","","","","FBpp0112103","EOG8VX4XH","gene2930","","","","FBgn0037229","CG9766","CG9766"
"146","AAEL000114","gene2906","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","AAEL000115","gene2933","","","","FBpp0078856","EOG8N5ZP8","gene2933","","","","FBgn0031764","CG9107","CG9107"
"148","AAEL000116","gene2927","","","","FBpp0071222","EOG80KBQ9","gene2927","","","","FBgn0052707","CG32707","APC4"
"149","AAEL000117","gene2939","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","AAEL000118","gene2948","","","","FBpp0084726","EOG85B461","gene2948","","","","FBgn0027873","CG1957","Cpsf100"
"151","AAEL000119","gene2920","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","AAEL000120","gene2910","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","AAEL000121","gene2945","","","","FBpp0293237","EOG8MPMF9","gene2945","","","","FBgn0261041","CG12295","stj"
"154","AAEL000122","gene2903","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","AAEL000123","gene2923","","","","FBpp0290384","EOG8P5P1S","gene2923","","","","FBgn0037107","CG7166","CG7166"
"156","AAEL000123","gene2923","","","","FBpp0308425","EOG8P5P1S","gene2923","","","","FBgn0085382","CG34353","CG34353"
"157","AAEL000123","gene2923","","","","FBpp0083730","EOG8P5P1S","gene2923","","","","FBgn0017590","CG6669","klg"
"158","AAEL000124","gene2952","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","AAEL000126","gene2946","","","","FBpp0075935","EOG8Q87P0","gene2946","","","","FBgn0263241","CG33048","Mocs1"
"160","AAEL000127","gene2929","","","","FBpp0083935","EOG82NMQX","gene2929","","","","FBgn0039156","CG6178","CG6178"
"161","AAEL000128","gene2960","","","","FBpp0082667","EOG8Q2H5Z","gene2960","","","","FBgn0038390","CG5083","Rbf2"
"162","AAEL000128","gene2960","","","","FBpp0070141","EOG8Q2H5Z","gene2960","","","","FBgn0015799","CG7413","Rbf"
"163","AAEL000129","gene2922","","","","FBpp0297308","EOG8SN4D4","gene2922","","","","FBgn0262869","CG43224","Gfrl"
"164","AAEL000130","gene2937","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","AAEL000132","gene2917","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","AAEL000133","gene2916","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","AAEL000134","gene2911","","","","FBpp0070180","EOG879HZX","gene2911","","","","FBgn0040348","CG3703","CG3703"
"168","AAEL000136","gene2936","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","AAEL000137","gene2951","","","","FBpp0301109","EOG8897C4","gene2951","","","","FBgn0263390","CG43442","Nha2"
"170","AAEL000138","gene2956","","","","FBpp0087333","EOG88SKM1","gene2956","","","","FBgn0033570","CG7712","ND-B14"
"171","AAEL000139","gene2904","AaegObp5","OBP","OBP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","AAEL000140","gene2926","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","AAEL000143","gene2958","","","","FBpp0081507","EOG8MSGQC","gene2958","","","","FBgn0037687","CG8132","CG8132"
"174","AAEL000144","gene2905","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","AAEL000145","gene2949","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","AAEL000146","gene2943","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","AAEL000147","gene2913","","","","FBpp0082729","EOG80ZTQG","gene2913","","","","FBgn0010438","CG4337","mtSSB"
"178","AAEL000148","gene2950","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","AAEL000149","gene2942","","","","FBpp0074105","EOG86T5T9","gene2942","","","","FBgn0030788","CG4756","Sap30"
"180","AAEL000150","gene2924","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","AAEL000151","gene2931","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","AAEL000152","gene2928","","","","FBpp0082599","EOG8KD9C4","gene2928","","","","FBgn0038342","CG14870","B9d1"
"183","AAEL000153","gene2925","","","","FBpp0296946","EOG87SW50","gene2925","","","","FBgn0262717","CG43161","Skeletor"
"184","AAEL000154","gene2957","","","","FBpp0073142","EOG80GGG8","gene2957","","","","FBgn0052251","CG32251","Claspin"
"185","AAEL000155","gene2921","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","AAEL000156","gene2934","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","AAEL000157","gene2915","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","AAEL000159","gene9583","","","","FBpp0074036","EOG81ZJ34","gene9583","","","","FBgn0030724","CG9212","Nipsnap"
"189","AAEL000160","gene9580","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","AAEL000161","gene9561","","","","FBpp0300194","EOG8R52T1","gene9561","","","","FBgn0052506","CG32506","CG32506"
"191","AAEL000161","gene9561","","","","FBpp0305155","EOG8R52T1","gene9561","","","","FBgn0031116","CG1695","CG1695"
"192","AAEL000162","gene15944","AaegGr34","GR","GR","FBpp0311196","EOG85F0FF","gene15944","AaegGr34","GR","GR","FBgn0041243","CG1712","Gr43a"
"193","AAEL000163","gene9552","","","","FBpp0083078","EOG8V4618","gene9552","","","","FBgn0051229","CG31229","CG31229"
"194","AAEL000164","gene9588","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","AAEL000165","gene9551","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","AAEL000166","gene9565","","","","FBpp0310421","EOG8R7Z3H","gene9565","","","","FBgn0039944","CG17162","CG17162"
"197","AAEL000167","gene9567","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","AAEL000170","gene9547","","","","FBpp0303261","EOG8HQH90","gene9547","","","","FBgn0034643","CG10321","CG10321"
"199","AAEL000172","gene9545","","","","FBpp0070922","EOG8MD0QJ","gene9545","","","","FBgn0029899","CG14438","CG14438"
"200","AAEL000173","gene9543","","","","FBpp0074509","EOG86Q9KP","gene9543","","","","FBgn0031040","CG14210","CG14210"
"201","AAEL000174","gene9539","","","","FBpp0071024","EOG8CG31R","gene9539","","","","FBgn0025549","CG1659","unc-119"
"202","AAEL000175","gene9540","","","","FBpp0086013","EOG8S4S6K","gene9540","","","","FBgn0034258","CG4954","eIF3-S8"
"203","AAEL000176","gene9570","","","","FBpp0070642","EOG82JRH0","gene9570","","","","FBgn0029708","CG3556","CG3556"
"204","AAEL000178","gene9591","","","","FBpp0073568","EOG8QVG45","gene9591","","","","FBgn0030460","CG2453","CG2453"
"205","AAEL000179","gene9571","","","","FBpp0088522","EOG8JQ6Q9","gene9571","","","","FBgn0026316","CG5788","Ubc10"
"206","AAEL000180","gene9558","","","","FBpp0086965","EOG8TXFJM","gene9558","","","","FBgn0026741","CG12373","mRpL18"
"207","AAEL000181","gene9537","","","","FBpp0084115","EOG85XBM9","gene9537","","","","FBgn0039227","CG11375","polybromo"
"208","AAEL000182","gene9557","","","","FBpp0086974","EOG8030KF","gene9557","","","","FBgn0011227","CG8764","ox"
"209","AAEL000183","gene9577","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","AAEL000184","gene9550","","","","FBpp0289931","EOG83BQF7","gene9550","","","","FBgn0040375","CG13760","CG13760"
"211","AAEL000185","gene9554","","","","FBpp0089137","EOG898XRP","gene9554","","","","FBgn0030719","CG9177","eIF5"
"212","AAEL000186","gene9546","","","","FBpp0271909","EOG854CR4","gene9546","","","","FBgn0052196","CG32196","CG32196"
"213","AAEL000186","gene9546","","","","FBpp0074883","EOG854CR4","gene9546","","","","FBgn0036787","CG4306","CG4306"
"214","AAEL000187","gene9544","","","","FBpp0073493","EOG8DJNMQ","gene9544","","","","FBgn0041203","CG1848","LIMK1"
"215","AAEL000188","gene9553","","","","FBpp0083731","EOG8K9F3T","gene9553","","","","FBgn0039030","CG6660","CG6660"
"216","AAEL000190","gene9556","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","AAEL000191","gene9573","","","","FBpp0071379","EOG86433W","gene9573","","","","FBgn0028480","CG17841","CG17841"
"218","AAEL000192","gene9562","","","","FBpp0289140","EOG8C8BJJ","gene9562","","","","FBgn0259241","CG42339","CG42339"
"219","AAEL000193","gene9568","","","","FBpp0082388","EOG847JJX","gene9568","","","","FBgn0011474","CG3307","pr-set7"
"220","AAEL000194","gene9549","","","","FBpp0303977","EOG8HDWJN","gene9549","","","","FBgn0267350","CG10260","PI4KIIIalpha"
"221","AAEL000195","gene9579","","","","FBpp0073325","EOG8D29F9","gene9579","","","","FBgn0052668","CG32668","CG32668"
"222","AAEL000196","gene9576","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","AAEL000199","gene9560","","","","FBpp0073965","EOG8T7BTS","gene9560","","","","FBgn0027093","CG9020","Aats-arg"
"224","AAEL000200","gene9542","","","","FBpp0112246","EOG8KSSBQ","gene9542","","","","FBgn0040817","CG14132","CG14132"
"225","AAEL000201","gene9563","","","","FBpp0071350","EOG8XWJP3","gene9563","","","","FBgn0030170","CG2990","CG2990"
"226","AAEL000203","gene9575","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","AAEL000204","gene9584","","","","FBpp0073485","EOG8CG31D","gene9584","","","","FBgn0030396","CG2556","CG2556"
"228","AAEL000206","gene9586","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","AAEL000208","gene9566","","","","FBpp0070643","EOG8V7286","gene9566","","","","FBgn0029709","CG3564","CHOp24"
