Internal gene ID,Vectorbase Identifier,OrthoDB category,OrthoDB D. mel ,Display name,Gene family,Gene subfamily,Name evidence
gene5245,AAEL008587,EOG8N8TVW,Nmdar1,Nmdar1,Glutamate receptor,Glutamate receptor (NMDA),orthoDB
gene4609,AAEL013695,EOG84XN71,Nmdar2,Nmdar2,Glutamate receptor,Glutamate receptor (NMDA),orthoDB
gene9392,AAEL008090,EOG84XN71,Nmdar2,Nmdar2,Glutamate receptor,Glutamate receptor (NMDA),orthoDB
gene15675,AAEL002380,EOG8N075Q,Gr21a,AaegGr1,GR,GR,Gr paper
gene15669,AAEL000082,NA,NA,AaegGr10,GR,GR,Gr paper
gene15695,AAEL011174,NA,NA,AaegGr11,GR,GR,Gr paper
gene15681,AAEL015071,NA,NA,AaegGr12P,GR,GR,Gr paper
gene15688,AAEL018071,NA,NA,AaegGr13P,GR,GR,Gr paper
gene15911,AAEL011571,EOG822D9J,Gr66a,AaegGr14,GR,GR,Gr paper
gene15799,AAEL017304,NA,NA,AaegGr15,GR,GR,Gr paper
gene15798,AAEL017230,NA,NA,AaegGr16,GR,GR,Gr paper
gene15803,AAEL017097,NA,NA,AaegGr17,GR,GR,Gr paper
gene15804,AAEL017327,NA,NA,AaegGr18,GR,GR,Gr paper
gene15917,AAEL011073,EOG8Q2H6B-EOG8Q2H6B,Gr28a-Gr28b,AaegGr19,GR,GR,Gr paper
gene13851,AAEL002167,NA,NA,AaegGr2,GR,GR,Gr paper
gene15989,AAEL007935,NA,NA,AaegGr20,GR,GR,Gr paper
gene15744,AAEL013192,NA,NA,AaegGr21,GR,GR,Gr paper
gene15742,AAEL013190,NA,NA,AaegGr22,GR,GR,Gr paper
gene15750,AAEL013196,NA,NA,AaegGr23,GR,GR,Gr paper
gene15743,AAEL013196,NA,NA,AaegGr24P,GR,GR,Gr paper
gene15747,AAEL013193,NA,NA,AaegGr25,GR,GR,Gr paper
gene15746,AAEL013195,NA,NA,AaegGr26,GR,GR,Gr paper
gene16177,AAEL015556,NA,NA,AaegGr27,GR,GR,Gr paper
gene15981,AAEL010277,NA,NA,AaegGr28,GR,GR,Gr paper
gene15980,AAEL010275,NA,NA,AaegGr29,GR,GR,Gr paper
gene15925,AAEL010058,EOG8ZCWW7,Gr63a,AaegGr3,GR,GR,Gr paper
gene15827,AAEL013646,NA,NA,AaegGr30P,GR,GR,Gr paper
gene15991,AAEL007933,NA,NA,AaegGr31,GR,GR,Gr paper
gene15978,AAEL017063,NA,NA,AaegGr32,GR,GR,Gr paper
gene15888,AAEL017446,NA,NA,AaegGr33,GR,GR,Gr paper
gene15944,AAEL000162,EOG85F0FF,Gr43a,AaegGr34,GR,GR,Gr paper
gene15937,AAEL017415,NA,NA,AaegGr35,GR,GR,Gr paper
gene15629,AAEL017169,NA,NA,AaegGr36,GR,GR,Gr paper
gene15766,AAEL017235,NA,NA,AaegGr37,GR,GR,Gr paper
gene15814,AAEL018088,NA,NA,AaegGr38P,GR,GR,Gr paper
gene15765,AAEL017323,NA,NA,AaegGr39,GR,GR,Gr paper
gene15665,AAEL000048,NA,NA,AaegGr4,GR,GR,Gr paper
gene15815,RU277,NA,NA,AaegGr40,GR,GR,Gr paper
gene15994,AAEL006500,NA,NA,AaegGr41,GR,GR,Gr paper
gene2023,AAEL017449,NA,NA,AaegGr42,GR,GR,Gr paper
gene2038,AAEL017182,NA,NA,AaegGr43,GR,GR,Gr paper
gene15993,AAEL017569,NA,NA,AaegGr44,GR,GR,Gr paper
gene15995,AAEL006494,NA,NA,AaegGr45,GR,GR,Gr paper
gene15992,AAEL017092,NA,NA,AaegGr46,GR,GR,Gr paper
gene15996,AAEL017408,NA,NA,AaegGr47,GR,GR,Gr paper
gene15914,AAEL018062,NA,NA,AaegGr48P,GR,GR,Gr paper
gene15973,AAEL017488,EOG8NCQ4N,Gr33a,AaegGr49,GR,GR,Gr paper
gene15670,AAEL000043,NA,NA,AaegGr5,GR,GR,Gr paper
gene15975,AAEL018078,EOG82C11P,Gr59b,AaegGr50P,GR,GR,Gr paper
gene15797,AAEL017130,NA,NA,AaegGr51,GR,GR,Gr paper
gene15938,AAEL002326,EOG8RNF19-EOG8RNF19,ppk3-ppk3,AaegGr52P,GR,GR,Gr paper
gene15976,AAEL010279,NA,NA,AaegGr53,GR,GR,Gr paper
gene15977,AAEL017364,NA,NA,AaegGr54,GR,GR,Gr paper
gene15979,AAEL010274,NA,NA,AaegGr55,GR,GR,Gr paper
gene15972,AAEL010278,NA,NA,AaegGr56,GR,GR,Gr paper
gene15974,AAEL010272,NA,NA,AaegGr57,GR,GR,Gr paper
gene15745,AAEL017324,NA,NA,AaegGr58,GR,GR,Gr paper
gene15748,AAEL013200,NA,NA,AaegGr59,GR,GR,Gr paper
gene15663,AAEL000012,NA,NA,AaegGr6,GR,GR,Gr paper
gene15990,AAEL017450,NA,NA,AaegGr60,GR,GR,Gr paper
gene15988,AAEL017202,NA,NA,AaegGr61,GR,GR,Gr paper
gene15986,AAEL017040,NA,NA,AaegGr62,GR,GR,Gr paper
gene15856,AAEL017565,NA,NA,AaegGr63,GR,GR,Gr paper
gene1109,AAEL007142,NA,NA,AaegGr64,GR,GR,Gr paper
gene15801,AAEL017295,NA,NA,AaegGr65,GR,GR,Gr paper
gene15800,AAEL017394,EOG8BVVKS,Gr39b,AaegGr66,GR,GR,Gr paper
gene15758,AAEL017158,NA,NA,AaegGr67,GR,GR,Gr paper
gene15759,AAEL017527,NA,NA,AaegGr68,GR,GR,Gr paper
gene15760,AAEL017441,NA,NA,AaegGr69,GR,GR,Gr paper
gene15673,AAEL000060,NA,NA,AaegGr7,GR,GR,Gr paper
gene15999,AAEL017432,NA,NA,AaegGr70,GR,GR,Gr paper
gene15998,AAEL017307,NA,NA,AaegGr71,GR,GR,Gr paper
gene6283,AAEL017216,EOG8TQQ1H,pn,AaegGr72,GR,GR,Gr paper
gene15714,AAEL010962,NA,NA,AaegGr73,GR,GR,Gr paper
gene15834,AAEL017476,NA,NA,AaegGr74,GR,GR,Gr paper
gene15915,AAEL018062,NA,NA,AaegGr75P,GR,GR,Gr paper
gene15947,AAEL009545,NA,NA,AaegGr76,GR,GR,Gr paper
gene15987,AAEL007940,NA,NA,AaegGr77,GR,GR,Gr paper
gene15931,AAEL017312,NA,NA,AaegGr78,GR,GR,Gr paper
gene15805,AAEL017486,NA,NA,AaegGr79,GR,GR,Gr paper
gene15667,AAEL000069,NA,NA,AaegGr8P,GR,GR,Gr paper
gene15666,AAEL000075,NA,NA,AaegGr9,GR,GR,Gr paper
gene4113,AAEL001568,NA,NA,Glycine receptor,Histamine receptor,,BlastX/vectorbase
gene15542,AAEL006047,NA,NA,HisCl1,Histamine receptor,Histamine receptor,BlastX
gene14960,AAEL003028,NA,NA,HisCl1,Histamine receptor,,BlastX
gene13936,AAEL012248,EOG85MQX8,ort (HisCl2),HisCl2,Histamine receptor,Histamine receptor,orthoDB
gene2856,AAEL015078,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,AaegIr100a.1,IR,IR,IR paper
gene15950,AAEL015266,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,AaegIr100a.2,IR,IR,IR paper
gene1249,AAEL008332,EOG8NGKC7-EOG8NGKC7-EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a-Ir10a-Ir100a,AaegIr100c.1,IR,IR,IR paper
gene15874,AAEL008332,EOG8NGKC7-EOG8NGKC7-EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a-Ir10a-Ir100a,AaegIr100c.1,IR,IR,IR paper
gene7871,AAEL015267,EOG8NGKC7-EOG8NGKC7,Ir100a-Ir10a,AaegIr100c.2,IR,IR,IR paper
gene7872,AAEL015265,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,AaegIr100d,IR,IR,IR paper
gene2855,AAEL015079,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,AaegIr100e.1,IR,IR,IR paper
gene3259,AAEL015647,EOG8NGKC7-EOG8NGKC7,Ir10a-Ir100a,AaegIr100e.2,IR,IR,IR paper
gene15773,AAEL013241,EOG8ZW82C,prt,AaegIr101,IR,IR,IR paper
gene2558,AAEL011122,NA,NA,AaegIr103,IR,IR,IR paper
gene15646,AAEL018069,EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT,Ir56a-Ir56b-Ir56d-Ir51b-Ir56c,AaegIr106.1,IR,IR,IR paper
gene15921,AAEL011804,EOG8Z65D5-EOG8Z65D5,Ir94h-Ir20a,AaegIr107.1,IR,IR,IR paper
gene15706,AAEL018081,NA,NA,AaegIr119,IR,IR,IR paper
gene15751,AAEL007786,NA,NA,AaegIr120,IR,IR,IR paper
gene15893,AAEL013366,EOG8VDSPV,Ir21a,AaegIr21a,IR,IR,IR paper
gene12514,AAEL009813,EOG8N8TW2,Ir25a,AaegIr25a,IR,IR,IR paper
gene15691,AAEL013153,EOG8QG04N,Ir31a,AaegIr31a,IR,IR,IR paper
gene15971,AAEL014270,EOG8RZ1QP,Ir40a,AaegIr40a,IR,IR,IR paper
gene15958,AAEL018084,EOG8RZ1QP,Ir40a,AaegIr40a.2,IR,IR,IR paper
gene8096,AAEL000007,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,AaegIr41a.1,IR,IR,IR paper
gene15662,AAEL000031,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,AaegIr41a.2,IR,IR,IR paper
gene8174,AAEL000027,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,AaegIr41d.1,IR,IR,IR paper
gene16175,AAEL015429,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,AaegIr41d.2,IR,IR,IR paper
gene8158,AAEL000095,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,AaegIr41d.3,IR,IR,IR paper
gene8098,AAEL000011,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,AaegIr41e,IR,IR,IR paper
gene8137,AAEL018359,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,AaegIr41g,IR,IR,IR paper
gene8090,AAEL000047,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,AaegIr41i,IR,IR,IR paper
gene8172,AAEL000018,NA,NA,AaegIr41j,IR,IR,IR paper
gene8156,AAEL000066,NA,NA,AaegIr41k,IR,IR,IR paper
gene8161,AAEL000089,EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a,AaegIr41n,IR,IR,IR paper
gene15674,AAEL000039,NA,NA,AaegIr41o,IR,IR,IR paper
gene15664,AAEL000063,EOG8HDWK4-EOG8HDWK4,Ir41a-Ir76a,AaegIr41p.1,IR,IR,IR paper
gene15668,AAEL018060,EOG8HDWK4-EOG8HDWK4-EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a-Ir41a-Ir76a,AaegIr41p.2,IR,IR,IR paper
gene8110,AAEL018060,EOG8HDWK4-EOG8HDWK4-EOG8HDWK4-EOG8HDWK4,Ir76a-Ir41a-Ir41a-Ir76a,AaegIr41p.2,IR,IR,IR paper
gene760,AAEL003440,EOG8NS62R,Ir60a,AaegIr60a,IR,IR,IR paper
gene3617,AAEL010880,EOG84J594,Ir64a,AaegIr64a,IR,IR,IR paper
gene3319,AAEL005039,EOG8GJ2DN,Ir68a,AaegIr68a,IR,IR,IR paper
gene988,AAEL018077,EOG8TF39X,Ir75d,AaegIr75d,IR,IR,IR paper
gene15862,AAEL010775,EOG85HVNN-EOG85HVNN-EOG85HVNN,Ir75c-Ir75a-Ir75b,AaegIr75e.3,IR,IR,IR paper
gene15749,AAEL013198,NA,NA,AaegIr75i,IR,IR,IR paper
gene15704,AAEL014089,NA,NA,AaegIr75k.1,IR,IR,IR paper
gene4541,AAEL014085,NA,NA,AaegIr75k.2,IR,IR,IR paper
gene15703,AAEL014087,NA,NA,AaegIr75k.3,IR,IR,IR paper
gene16176,AAEL015479,NA,NA,AaegIr75k.4,IR,IR,IR paper
gene3273,AAEL005875,NA,NA,AaegIr75l,IR,IR,IR paper
gene4542,AAEL014086,NA,NA,AaegIr75o,IR,IR,IR paper
gene10077,AAEL006360,EOG8SN4DB,Ir76b,AaegIr76b,IR,IR,IR paper
gene15677,AAEL014115,NA,NA,AaegIr7h.1,IR,IR,IR paper
gene16173,AAEL015227,NA,NA,AaegIr7h.2,IR,IR,IR paper
gene15628,AAEL000413,EOG8W6RMR,Ir7c,AaegIr7j,IR,IR,IR paper
gene2232,AAEL003340,EOG8W6RMR,Ir7c,AaegIr7k.1,IR,IR,IR paper
gene15631,AAEL000462,NA,NA,AaegIr7l,IR,IR,IR paper
gene2218,AAEL003335,EOG8W6RMR,Ir7c,AaegIr7m.1,IR,IR,IR paper
gene2215,AAEL003353,NA,NA,AaegIr7n.1,IR,IR,IR paper
gene790,AAEL014690,NA,NA,AaegIr7n.2,IR,IR,IR paper
gene2249,AAEL003329,EOG8W6RMR,Ir7c,AaegIr7q.1,IR,IR,IR paper
gene15653,AAEL003341,EOG8W6RMR,Ir7c,AaegIr7q.2,IR,IR,IR paper
gene15780,AAEL014688,NA,NA,AaegIr7r.1,IR,IR,IR paper
gene3552,AAEL015149,NA,NA,AaegIr7r.2,IR,IR,IR paper
gene3551,AAEL015150,NA,NA,AaegIr7s.2,IR,IR,IR paper
gene15632,AAEL018099,EOG8W6RMR,Ir7c,AaegIr7v.1,IR,IR,IR paper
gene15630,AAEL018100,NA,NA,AaegIr7v.2,IR,IR,IR paper
gene7977,AAEL018101,NA,NA,AaegIr7v.3,IR,IR,IR paper
gene2231,AAEL003328,NA,NA,AaegIr7y.1,IR,IR,IR paper
gene794,AAEL014686,NA,NA,AaegIr7y.2,IR,IR,IR paper
gene15654,AAEL003350,NA,NA,AaegIr7z.1,IR,IR,IR paper
gene15781,AAEL018007,NA,NA,AaegIr7z.2,IR,IR,IR paper
gene4257,AAEL011691,EOG87Q0XD,Ir87a,AaegIr87a.1,IR,IR,IR paper
gene4252,AAEL011690,EOG87Q0XD,Ir87a,AaegIr87a.2,IR,IR,IR paper
gene12116,AAEL002922,EOG85MQWR,Ir8a,AaegIr8a,IR,IR,IR paper
gene10991,AAEL011001,EOG8WDH37,Ir92a,AaegIr92a,IR,IR,IR paper
gene15248,AAEL005012,EOG85B45T,Ir93a,AaegIr93a,IR,IR,IR paper
gene14179,RU164,NA,NA,Ir_RU1,IR,IR,IR paper
gene15671,RU199,NA,NA,Ir_RU2,IR,IR,IR paper
gene6368,AAEL011996,EOG8J4098,Akh,Adipokinetic hormone (Akh),neuropeptide,neuropeptide,orthoDB
gene14862,AAEL015251,NA,NA,Allatostatin A,neuropeptide,neuropeptide,BlastX
gene11366,AAEL012139,EOG8TMTTR,Mip,Allatostatin B/myoinhibiting peptide,neuropeptide,neuropeptide,orthoDB
gene7211,AAEL009541,NA,NA,Allatropin (AT),neuropeptide,neuropeptide,vectorbase A.gam orthology
gene10786,AAEL013722,EOG8FN79K,Pburs,Bursicon,neuropeptide,neuropeptide,orthoDB
gene3995,AAEL005444,EOG8NCQ5N,Capa,Capa,neuropeptide,neuropeptide,orthoDB
gene1368,AAEL000630,EOG89PDR9,CCAP,Crustacean cardioactive peptide (CCAP),neuropeptide,neuropeptide,orthoDB
gene13204,AAEL008070,EOG8NCQ5Q,Dh31,Diuretic hormone 31,neuropeptide,neuropeptide,orthoDB
gene11561,AAEL001762,EOG8W9MWJ,ETH,Ecdysis-triggering hormone (ETH),neuropeptide,neuropeptide,orthoDB
gene1010,AAEL006722,EOG8SXR5Q,Eh,Eclosion hormone (EH),neuropeptide,neuropeptide,orthoDB
gene4612,AAEL014409,EOG8SXR5Q,Eh,Eclosion hormone (EH),neuropeptide,neuropeptide,orthoDB
gene6474,AAEL011229,EOG8SXR5Q,Eh,Eclosion hormone (EH),neuropeptide,neuropeptide,orthoDB
gene7019,AAEL015552,EOG8SXR5Q,Eh,Eclosion hormone (EH),neuropeptide,neuropeptide,orthoDB
gene7183,AAEL013645,EOG8T4GMN,FMRFa,FMRFamide,neuropeptide,neuropeptide,orthoDB
gene6121,AAEL001474,EOG8N076M,Gpb5,Glycoprotein hormone beta 5 (GPB5),neuropeptide,neuropeptide,orthoDB
gene6002,AAEL012060,NA,NA,Hugin/pyrokinin,neuropeptide,neuropeptide,"Choi, 2013"
gene140,AAEL003000,EOG86HK3D,Ilp7,Insulin-like peptide 7 (ILP7),neuropeptide,neuropeptide,orthoDB
gene11574,AAEL001777,EOG898XSN,ITP,Ion transport peptide (ITP),neuropeptide,neuropeptide,orthoDB
gene15429,AAEL015332,EOG898XSN,ITP,Ion transport peptide (ITP),neuropeptide,neuropeptide,orthoDB
gene15471,AAEL007294,EOG81RSN2,Ms,Myosuppressin (Ms),neuropeptide,neuropeptide,orthoDB
gene1387,AAEL004155,NA,NA,Neuroparsin/Ovary ecdysteroidogenic hormone (OEH),neuropeptide,neuropeptide,vectorbase A.gam orthology
gene14831,AAEL002733,NA,NA,Neuropeptide F (NPF),neuropeptide,neuropeptide,vectorbase
gene11292,AAEL014708,EOG80KBQH,Nplp1,Neuropeptide-like precursor 1 (NPLP1),neuropeptide,neuropeptide,orthoDB
gene7664,AAEL012640,EOG80KBQH,Nplp1,Neuropeptide-like precursor 1 (NPLP1),neuropeptide,neuropeptide,orthoDB
gene11573,AAEL001754,EOG8DRD5C,Pdf,Pigment-dispersing factor (PDF),neuropeptide,neuropeptide,orthoDB
gene9322,AAEL012542,EOG8S7NGJ,sNPF,short neuropeptide F (sNPF),neuropeptide,neuropeptide,orthoDB
gene12396,AAEL009858,EOG8JQ6QW,SIFa,SIFamide,neuropeptide,,orthoDB
gene6150,AAEL006644,EOG8HTCJH,Tk,Tachykinin (TK),neuropeptide,neuropeptide,orthoDB
gene11822,AAEL011325,EOG81K246,AkhR,Adipokinetic hormone (Akh) receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene9994,AAEL009673,NA,NA,Adipokinetic hormone (Akh) receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene4928,AAEL006076,NA,NA,Allatostatin A receptor,neuropeptide receptor,neuropeptide receptor,BlastX
gene12592,AAEL007169,EOG8NW2BX-EOG8NW2BX,AstA-R1-AstA-R2,Allatostatin A receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene6935,AAEL012356,EOG8WWV9B,AstC-R2,Allatostatin C receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene9080,AAEL012920,EOG8WWV9B,AstC-R2,Allatostatin C receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene7148,AAEL011680,NA,NA,Allatotropin receptor/NPYLR3b,neuropeptide receptor,neuropeptide receptor,"Vogels, 2013/Liesch"
gene4529,AAEL004777,EOG8RBT8W,rk,Bursicon receptor (rickets),neuropeptide receptor,neuropeptide receptor,"Caers, 2012/orthoDB"
gene8104,AAEL017335,EOG8THZKH,CapaR,capa receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene9501,AAEL003473,EOG8BK7V6,CCHa1-R,CCHamide-1 receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene15786,AAEL012385,EOG886C4D,CCHa2-R,CCHamide-2 receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene7588,AAEL017410,EOG886C4D,CCHa2-R,CCHamide-2 receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene5043,AAEL002317,EOG818FCN-EOG818FCN,CG10702-InR,CG10702/Insulin-like receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene13756,AAEL008566,EOG8962J1,CG13229,CG13229,neuropeptide receptor,neuropeptide receptor,"orthoDB/Hewes and Taghert, 2001"
gene5630,AAEL011475,EOG8WHCBF,CrzR,Corazonin receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene272,AAEL008655,EOG8HHRTF,CCAP-R,crustacean cardioactive peptide (CCAP) receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene7729,AAEL010043,EOG879HZS,Dh31-R,Diuretic hormone 31 receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene3279,AAEL005894,EOG8GTP4S-EOG8GTP4S,Dh44-R2-Dh44-R1,Diuretic hormone 44 receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene5340,AAEL008292,EOG8GTP4S-EOG8GTP4S,Dh44-R2-Dh44-R1,Diuretic hormone 44 receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene5348,AAEL008287,EOG8GTP4S-EOG8GTP4S,Dh44-R1-Dh44-R2,Diuretic hormone 44 receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene6623,AAEL008387,EOG8QNQMF,CG10738,Eclosion hormone receptor,neuropeptide receptor,neuropeptide receptor,"Nassel, 2002"
gene11304,AAEL003378,EOG88PQB0,FMRFaR,FMRFamide receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene7779,AAEL015604,EOG88PQB0,FMRFaR,FMRFamide receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene1996,AAEL006636,EOG8HMN1Z,Lkr,Leukokinin receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012/orthoDB"
gene7556,AAEL011026,EOG8HMN1Z,Lkr,Leukokinin receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene5329,AAEL004399,EOG8258J6,Lgr1,Lgr1/Glycoprotein 2 receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012"
gene6320,AAEL006283,EOG8HHRT6-EOG8HHRT6,MsR1-MsR2,Myosuppressin receptor,neuropeptide receptor,neuropeptide receptor,"Caers, 2012/orthoDB"
gene4305,AAEL010626,EOG8W6RN0,NPFR,NPF receptor/NPYLR7b,neuropeptide receptor,neuropeptide receptor,"Caers, 2012/orthoDB/Liesch"
gene11721,AAEL010929,EOG8KM1TR,CG12796,NPYLR1,neuropeptide receptor,neuropeptide receptor,Liesch
gene14539,AAEL012190,NA,NA,NPYLR2,neuropeptide receptor,neuropeptide receptor,Liesch
gene14603,AAEL017036,NA,NA,NPYLR3,neuropeptide receptor,neuropeptide receptor,Liesch
gene9935,AAEL004245,EOG8K9F4S,CG18208,NPYLR5,neuropeptide receptor,neuropeptide receptor,Liesch
gene1230,AAEL017313,EOG8962J1,CG13229,NPYLR8,neuropeptide receptor,neuropeptide receptor,Liesch
gene911,AAEL009024,EOG8Z65D3,Pdfr,PDF receptor,neuropeptide receptor,neuropeptide receptor,orthoDB
gene9326,AAEL010923,EOG8X9B7J,tor,PTTH receptor (torso),neuropeptide receptor,neuropeptide receptor,orthoDB
