"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene10044","gene10044","supercont1.49;supercont1.49;supercont1.49","2122105;2122663;2122954","2122583;2122890;2123612","+;+;+",1366,"AAEL018091","FBpp0079492-FBpp0073108-FBpp0070781-FBpp0081191-FBpp0081189-FBpp0081188-FBpp0081193-FBpp0083221-FBpp0079429-FBpp0073110-FBpp0081192-FBpp0079865-FBpp0081190","FBgn0051876-FBgn0035512-FBgn0029811-FBgn0004781-FBgn0004783-FBgn0004780-FBgn0004778-FBgn0038714-FBgn0032125-FBgn0035510-FBgn0004779-FBgn0005664-FBgn0004782","CG31876-CG15008-CG4052-CG1327-CG2360-CG2341-CG1331-CG6240-CG3818-CG15006-CG1330-CG16963-CG1252","Cpr30F-Cpr64Ac-Cpr5C-Ccp84Ac-Ccp84Aa-Ccp84Ad-Ccp84Af-Cpr92A-Cpr30B-Cpr64Aa-Ccp84Ae-Crys-Ccp84Ab","EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P","","",""
"gene10045","gene10045","supercont1.49;supercont1.49;supercont1.49","2329118;2329379;2330022","2329345;2329928;2330551","-;-;-",1308,"AAEL002127","FBpp0073075","FBgn0003710","CG1232","tipE","EOG80KBQN","","",""
"gene10046","gene10046","supercont1.49;supercont1.49","1403054;1437214","1403124;1443286","+;+",6144,"AAEL002094","FBpp0074981","FBgn0036725","CG18265","CG18265","EOG8S1WZF","","",""
"gene10047","gene10047","supercont1.49;supercont1.49","2071686;2079087","2073148;2079572","-;-",1949,"AAEL002111","FBpp0081190-FBpp0081193-FBpp0079492-FBpp0081188-FBpp0073110-FBpp0079865-FBpp0070781-FBpp0083221-FBpp0081189-FBpp0081191-FBpp0079429-FBpp0073108-FBpp0081192","FBgn0004782-FBgn0004778-FBgn0051876-FBgn0004780-FBgn0035510-FBgn0005664-FBgn0029811-FBgn0038714-FBgn0004783-FBgn0004781-FBgn0032125-FBgn0035512-FBgn0004779","CG1252-CG1331-CG31876-CG2341-CG15006-CG16963-CG4052-CG6240-CG2360-CG1327-CG3818-CG15008-CG1330","Ccp84Ab-Ccp84Af-Cpr30F-Ccp84Ad-Cpr64Aa-Crys-Cpr5C-Cpr92A-Ccp84Aa-Ccp84Ac-Cpr30B-Cpr64Ac-Ccp84Ae","EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P","","",""
"gene10048","gene10048","supercont1.49;supercont1.49","544772;545184","545104;546446","+;+",1596,"AAEL002121",NA,NA,NA,NA,NA,"","",""
"gene10049","gene10049","supercont1.49;supercont1.49;supercont1.49;supercont1.49","1066347;1089319;1101935;1102287","1067223;1090004;1102220;1103325","+;+;+;+",2888,"AAEL002118","FBpp0078490","FBgn0004436","CG2013","Ubc6","EOG8MPMGW","","",""
"gene1005","gene1005","supercont1.219;supercont1.219","1409059;1409265","1409186;1409361","-;-",225,"AAEL006746",NA,NA,NA,NA,NA,"","",""
"gene10050","gene10050","supercont1.49;supercont1.49","2680114;2682486","2680257;2683397","-;-",1056,"AAEL002128","FBpp0073071","FBgn0035501","CG1299","CG1299","EOG8XKXZC","","",""
"gene10051","gene10051","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2827801;2828677;2829292;2839922","2828605;2828847;2829411;2840055","+;+;+;+",1230,"AAEL002125","FBpp0305499","FBgn0004656","CG2252","fs(1)h","EOG8JQ6P0","","",""
"gene10052","gene10052","supercont1.49;supercont1.49;supercont1.49","2148089;2148175;2148402","2148100;2148339;2148653","+;+;+",429,"AAEL002099","FBpp0081193-FBpp0073110-FBpp0079492-FBpp0070781-FBpp0081190-FBpp0083221-FBpp0079429-FBpp0081191-FBpp0079865-FBpp0073108-FBpp0081192-FBpp0081189-FBpp0081188","FBgn0004778-FBgn0035510-FBgn0051876-FBgn0029811-FBgn0004782-FBgn0038714-FBgn0032125-FBgn0004781-FBgn0005664-FBgn0035512-FBgn0004779-FBgn0004783-FBgn0004780","CG1331-CG15006-CG31876-CG4052-CG1252-CG6240-CG3818-CG1327-CG16963-CG15008-CG1330-CG2360-CG2341","Ccp84Af-Cpr64Aa-Cpr30F-Cpr5C-Ccp84Ab-Cpr92A-Cpr30B-Ccp84Ac-Crys-Cpr64Ac-Ccp84Ae-Ccp84Aa-Ccp84Ad","EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P","","",""
"gene10053","gene10053","supercont1.49;supercont1.49;supercont1.49","2737552;2745059;2745803","2739070;2745737;2745997","+;+;+",2393,"AAEL002116","FBpp0083149","FBgn0051475","CG31475","CG31475","EOG86X21H","","",""
"gene10054","gene10054","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2361752;2362036;2362469;2370395","2361968;2362405;2362705;2370443","+;+;+;+",873,"AAEL002088","FBpp0289848","FBgn0035505","CG15004","Teh2","EOG8MD0RH","","",""
"gene10055","gene10055","supercont1.49;supercont1.49;supercont1.49","298330;298609;299400","298543;298779;299675","+;+;+",661,"AAEL002117",NA,NA,NA,NA,NA,"","",""
"gene10056","gene10056","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2381089;2382023;2392511;2392973","2381112;2382250;2392905;2393111","-;-;-;-",786,"AAEL002096","FBpp0073074","FBgn0040696","CG18675","CG18675","EOG8XWJQ5","","",""
"gene10057","gene10057","supercont1.49;supercont1.49;supercont1.49","1988133;1999885;2003892","1988553;2003806;2005164","+;+;+",5616,"AAEL002130","FBpp0073106","FBgn0001257","CG15009","ImpL2","EOG81C9NK","","",""
"gene10058","gene10058","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","703546;704441;704718;724833;725875;726376;726524;726912;732382","704380;704655;704839;724972;726370;726498;726851;727034;732479","-;-;-;-;-;-;-;-;-",2480,"AAEL002123",NA,NA,NA,NA,NA,"","",""
"gene10059","gene10059","supercont1.49;supercont1.49;supercont1.49;supercont1.49","1200123;1200634;1200773;1215731","1200569;1200709;1200947;1217081","-;-;-;-",2049,"AAEL002097","FBpp0084013","FBgn0039188","CG17785","Golgin84","EOG8T7BV1","","",""
"gene1006","gene1006","supercont1.219","531472","538554","+",7083,"AAEL006741",NA,NA,NA,NA,NA,"","",""
"gene10060","gene10060","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2215810;2216643;2219219;2220361;2242093;2242408;2243163;2243546;2243882;2250935;2251253;2266677;2267036","2216594;2217705;2220336;2220463;2242386;2242780;2243485;2243818;2244031;2251192;2251393;2266886;2267086","-;-;-;-;-;-;-;-;-;-;-;-;-",5142,"AAEL002122","FBpp0298310","FBgn0263110","CG43367","CG43367","EOG8VQDDF","","",""
"gene10061","gene10061","supercont1.49;supercont1.49;supercont1.49","461287;537422;537679","461328;537618;538390","+;+;+",951,"AAEL002103",NA,NA,NA,NA,NA,"","",""
"gene10062","gene10062","supercont1.49;supercont1.49;supercont1.49","2156080;2156190;2156454","2156122;2156390;2156878","+;+;+",669,"AAEL002092","FBpp0073108-FBpp0079865-FBpp0070781-FBpp0081193-FBpp0073110-FBpp0081189-FBpp0079492-FBpp0081188-FBpp0081192-FBpp0081190-FBpp0083221-FBpp0081191-FBpp0079429","FBgn0035512-FBgn0005664-FBgn0029811-FBgn0004778-FBgn0035510-FBgn0004783-FBgn0051876-FBgn0004780-FBgn0004779-FBgn0004782-FBgn0038714-FBgn0004781-FBgn0032125","CG15008-CG16963-CG4052-CG1331-CG15006-CG2360-CG31876-CG2341-CG1330-CG1252-CG6240-CG1327-CG3818","Cpr64Ac-Crys-Cpr5C-Ccp84Af-Cpr64Aa-Ccp84Aa-Cpr30F-Ccp84Ad-Ccp84Ae-Ccp84Ab-Cpr92A-Ccp84Ac-Cpr30B","EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P-EOG8PP18P","","",""
"gene10063","gene10063","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2843401;2844254;2851724;2867107;2867335","2843404;2844324;2853444;2867275;2868178","+;+;+;+;+",2809,"AAEL002101",NA,NA,NA,NA,NA,"","",""
"gene10064","gene10064","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","1226262;1226792;1227080;1245400;1245655","1226734;1226924;1227910;1245583;1246540","+;+;+;+;+",2507,"AAEL002089","FBpp0083406","FBgn0026056","CG11622","Rlip","EOG837V5N","","",""
"gene10065","gene10065","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2547354;2577682;2612434;2616913;2626411;2627272;2636806;2637097;2637242","2550717;2577944;2612483;2617014;2627200;2627365;2636943;2637169;2638276","+;+;+;+;+;+;+;+;+",5909,"AAEL002112","FBpp0291243","FBgn0259986","CG33545","nab","EOG847JK4","","",""
"gene10066","gene10066","supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49;supercont1.49","2451448;2451877;2472602;2499504;2510210;2510565;2511138;2512286;2526743","2451807;2452181;2473135;2500187;2510501;2511061;2512210;2512484;2527568","+;+;+;+;+;+;+;+;+",4770,"AAEL002126","FBpp0073116","FBgn0011653","CG15002","mas","EOG8Z65D1","","",""
"gene10067","gene10067","supercont1.49","2351007","2352728","+",1722,"AAEL002131","FBpp0073113","FBgn0040697","CG18676","Teh3","EOG8MPMFH","","",""
"gene10068","gene10068","supercont1.49;supercont1.49;supercont1.49;supercont1.49","2819583;2820319;2827569;2827675","2820210;2820557;2827670;2828223","+;+;+;+",1518,"AAEL002090","FBpp0305499","FBgn0004656","CG2252","fs(1)h","EOG8JQ6P0","","",""
"gene10069","gene10069","supercont1.1260;supercont1.1260;supercont1.1260;supercont1.1260","8398;10523;14179;15673","10463;10608;15279;16733","+;+;+;+",4314,"AAEL014763",NA,NA,NA,NA,NA,"","",""
"gene1007","gene1007","supercont1.219;supercont1.219;supercont1.219","499497;504366;506287","500352;506201;506451","-;-;-",2857,"AAEL006725","FBpp0077353","FBgn0031493","CG3605","CG3605","EOG8KM1TH","","",""
"gene10070","gene10070","supercont1.1260;supercont1.1260;supercont1.1260;supercont1.1260","115538;127322;127795;140893","116755;127729;127914;141633","-;-;-;-",2487,"AAEL014762","FBpp0088863","FBgn0039714","CG7816","Zip99C","EOG87H8G4","","",""
"gene10071","gene10071","supercont1.1260;supercont1.1260;supercont1.1260","15926;24842;73644","16792;25193;74165","-;-;-",1741,"AAEL014761",NA,NA,NA,NA,NA,"","",""
"gene10072","gene10072","supercont1.3051","366","2297","+",1932,"AAEL015537",NA,NA,NA,NA,NA,"","",""
"gene10073","gene10073","supercont1.961;supercont1.961","13974;16419","14545;20026","+;+",4180,"AAEL013921",NA,NA,NA,NA,NA,"","",""
"gene10074","gene10074","supercont1.961","107640","108347","-",708,"AAEL013918","FBpp0088107","FBgn0033139","CG12837","Tsp42Er","EOG8G1Q81","","",""
"gene10075","gene10075","supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961;supercont1.961","34003;48885;49122;49777;50005;50285;68542;96436;97534;141754","36157;49056;49682;49938;50159;51760;69099;97000;97554;142297","-;-;-;-;-;-;-;-;-;-",6369,"AAEL018268","FBpp0292356","FBgn0025641","CG14622","DAAM","EOG8XPT65","","",""
"gene10076","gene10076","supercont1.961","90365","91139","-",775,"AAEL013917",NA,NA,NA,NA,NA,"","",""
"gene10077","gene10077","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1400479;1412797;1413043;1413876;1433676;1448917;1453231","1412727;1412980;1413344;1414069;1434396;1449814;1453543","-;-;-;-;-;-;-",14861,"AAEL006360","FBpp0074638","FBgn0036937","CG7385","Ir76b","EOG8SN4DB","AaegIr76b","IR","IR"
"gene10078","gene10078","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","610645;624754;635801;676841;760918","612128;625061;636472;676870;762035","-;-;-;-;-",3612,"AAEL006339","FBpp0075290-FBpp0072378","FBgn0052150-FBgn0035104","CG32150-CG13875","CG32150-CG13875","EOG84N1HK-EOG84N1HK","","",""
"gene10079","gene10079","supercont1.201;supercont1.201","1153640;1155672","1153938;1155975","-;-",603,"AAEL006357",NA,NA,NA,NA,NA,"","",""
"gene1008","gene1008","supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219","1663369;1666958;1667243;1667463;1667696;1679721;1686734;1695116;1702552;1703063;1714300;1729744;1731193;1739930;1740251;1742560;1743355;1743924;1768545","1666893;1667167;1667392;1667633;1667851;1680509;1686859;1696365;1702590;1703270;1714658;1729986;1731441;1740179;1740362;1743256;1743661;1744016;1768579","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",8969,"AAEL006730","FBpp0072830","FBgn0010909","CG16973","msn","EOG8QVG37","","",""
"gene10080","gene10080","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1129060;1129302;1129711;1129848;1130189;1130535;1130806","1129234;1129644;1129783;1130132;1130476;1130744;1132006","-;-;-;-;-;-;-",2575,"AAEL006347",NA,NA,NA,NA,NA,"","",""
"gene10081","gene10081","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1586012;1600589;1600892;1601146;1609048","1586395;1600831;1601070;1601220;1609842","+;+;+;+;+",1676,"AAEL006328",NA,NA,NA,NA,NA,"","",""
"gene10082","gene10082","supercont1.201;supercont1.201;supercont1.201;supercont1.201","980972;994871;1002439;1025741","981656;995242;1002874;1035869","+;+;+;+",11622,"AAEL006330","FBpp0075315","FBgn0267390","CG6498","dop","EOG80GGG1","","",""
