internal.gene_id.x,vectorbase.RU,display.name,gene.family,gene.family.specific,flybase.fbpp,orthodb.group,flybase.fbgn,flybase.annot,flybase.gene
gene10042,AAEL002107,,,,FBpp0073081,EOG87SW57,FBgn0035515,CG14997,CG14997
gene10043,AAEL002108,,,,FBpp0070646,EOG805VSH,FBgn0029714,CG3527,CG3527
gene10044,AAEL018091,,,,FBpp0079492,EOG8PP18P,FBgn0051876,CG31876,Cpr30F
gene10044,AAEL018091,,,,FBpp0073108,EOG8PP18P,FBgn0035512,CG15008,Cpr64Ac
gene10044,AAEL018091,,,,FBpp0070781,EOG8PP18P,FBgn0029811,CG4052,Cpr5C
gene10044,AAEL018091,,,,FBpp0081191,EOG8PP18P,FBgn0004781,CG1327,Ccp84Ac
gene10044,AAEL018091,,,,FBpp0081189,EOG8PP18P,FBgn0004783,CG2360,Ccp84Aa
gene10044,AAEL018091,,,,FBpp0081188,EOG8PP18P,FBgn0004780,CG2341,Ccp84Ad
gene10044,AAEL018091,,,,FBpp0081193,EOG8PP18P,FBgn0004778,CG1331,Ccp84Af
gene10044,AAEL018091,,,,FBpp0083221,EOG8PP18P,FBgn0038714,CG6240,Cpr92A
gene10044,AAEL018091,,,,FBpp0079429,EOG8PP18P,FBgn0032125,CG3818,Cpr30B
gene10044,AAEL018091,,,,FBpp0073110,EOG8PP18P,FBgn0035510,CG15006,Cpr64Aa
gene10044,AAEL018091,,,,FBpp0081192,EOG8PP18P,FBgn0004779,CG1330,Ccp84Ae
gene10044,AAEL018091,,,,FBpp0079865,EOG8PP18P,FBgn0005664,CG16963,Crys
gene10044,AAEL018091,,,,FBpp0081190,EOG8PP18P,FBgn0004782,CG1252,Ccp84Ab
gene10045,AAEL002127,,,,FBpp0073075,EOG80KBQN,FBgn0003710,CG1232,tipE
gene10046,AAEL002094,,,,FBpp0074981,EOG8S1WZF,FBgn0036725,CG18265,CG18265
gene10047,AAEL002111,,,,FBpp0081190,EOG8PP18P,FBgn0004782,CG1252,Ccp84Ab
gene10047,AAEL002111,,,,FBpp0081193,EOG8PP18P,FBgn0004778,CG1331,Ccp84Af
gene10047,AAEL002111,,,,FBpp0079492,EOG8PP18P,FBgn0051876,CG31876,Cpr30F
gene10047,AAEL002111,,,,FBpp0081188,EOG8PP18P,FBgn0004780,CG2341,Ccp84Ad
gene10047,AAEL002111,,,,FBpp0073110,EOG8PP18P,FBgn0035510,CG15006,Cpr64Aa
gene10047,AAEL002111,,,,FBpp0079865,EOG8PP18P,FBgn0005664,CG16963,Crys
gene10047,AAEL002111,,,,FBpp0070781,EOG8PP18P,FBgn0029811,CG4052,Cpr5C
gene10047,AAEL002111,,,,FBpp0083221,EOG8PP18P,FBgn0038714,CG6240,Cpr92A
gene10047,AAEL002111,,,,FBpp0081189,EOG8PP18P,FBgn0004783,CG2360,Ccp84Aa
gene10047,AAEL002111,,,,FBpp0081191,EOG8PP18P,FBgn0004781,CG1327,Ccp84Ac
gene10047,AAEL002111,,,,FBpp0079429,EOG8PP18P,FBgn0032125,CG3818,Cpr30B
gene10047,AAEL002111,,,,FBpp0073108,EOG8PP18P,FBgn0035512,CG15008,Cpr64Ac
gene10047,AAEL002111,,,,FBpp0081192,EOG8PP18P,FBgn0004779,CG1330,Ccp84Ae
gene10048,AAEL002121,,,,NA,NA,NA,NA,NA
gene10049,AAEL002118,,,,FBpp0078490,EOG8MPMGW,FBgn0004436,CG2013,Ubc6
gene1005,AAEL006746,,,,NA,NA,NA,NA,NA
gene10050,AAEL002128,,,,FBpp0073071,EOG8XKXZC,FBgn0035501,CG1299,CG1299
gene10051,AAEL002125,,,,FBpp0305499,EOG8JQ6P0,FBgn0004656,CG2252,fs(1)h
gene10052,AAEL002099,,,,FBpp0081193,EOG8PP18P,FBgn0004778,CG1331,Ccp84Af
gene10052,AAEL002099,,,,FBpp0073110,EOG8PP18P,FBgn0035510,CG15006,Cpr64Aa
gene10052,AAEL002099,,,,FBpp0079492,EOG8PP18P,FBgn0051876,CG31876,Cpr30F
gene10052,AAEL002099,,,,FBpp0070781,EOG8PP18P,FBgn0029811,CG4052,Cpr5C
gene10052,AAEL002099,,,,FBpp0081190,EOG8PP18P,FBgn0004782,CG1252,Ccp84Ab
gene10052,AAEL002099,,,,FBpp0083221,EOG8PP18P,FBgn0038714,CG6240,Cpr92A
gene10052,AAEL002099,,,,FBpp0079429,EOG8PP18P,FBgn0032125,CG3818,Cpr30B
gene10052,AAEL002099,,,,FBpp0081191,EOG8PP18P,FBgn0004781,CG1327,Ccp84Ac
gene10052,AAEL002099,,,,FBpp0079865,EOG8PP18P,FBgn0005664,CG16963,Crys
gene10052,AAEL002099,,,,FBpp0073108,EOG8PP18P,FBgn0035512,CG15008,Cpr64Ac
gene10052,AAEL002099,,,,FBpp0081192,EOG8PP18P,FBgn0004779,CG1330,Ccp84Ae
gene10052,AAEL002099,,,,FBpp0081189,EOG8PP18P,FBgn0004783,CG2360,Ccp84Aa
gene10052,AAEL002099,,,,FBpp0081188,EOG8PP18P,FBgn0004780,CG2341,Ccp84Ad
gene10053,AAEL002116,,,,FBpp0083149,EOG86X21H,FBgn0051475,CG31475,CG31475
gene10054,AAEL002088,,,,FBpp0289848,EOG8MD0RH,FBgn0035505,CG15004,Teh2
gene10055,AAEL002117,,,,NA,NA,NA,NA,NA
gene10056,AAEL002096,,,,FBpp0073074,EOG8XWJQ5,FBgn0040696,CG18675,CG18675
gene10057,AAEL002130,,,,FBpp0073106,EOG81C9NK,FBgn0001257,CG15009,ImpL2
gene10058,AAEL002123,,,,NA,NA,NA,NA,NA
gene10059,AAEL002097,,,,FBpp0084013,EOG8T7BV1,FBgn0039188,CG17785,Golgin84
gene1006,AAEL006741,,,,NA,NA,NA,NA,NA
gene10060,AAEL002122,,,,FBpp0298310,EOG8VQDDF,FBgn0263110,CG43367,CG43367
gene10061,AAEL002103,,,,NA,NA,NA,NA,NA
gene10062,AAEL002092,,,,FBpp0073108,EOG8PP18P,FBgn0035512,CG15008,Cpr64Ac
gene10062,AAEL002092,,,,FBpp0079865,EOG8PP18P,FBgn0005664,CG16963,Crys
gene10062,AAEL002092,,,,FBpp0070781,EOG8PP18P,FBgn0029811,CG4052,Cpr5C
gene10062,AAEL002092,,,,FBpp0081193,EOG8PP18P,FBgn0004778,CG1331,Ccp84Af
gene10062,AAEL002092,,,,FBpp0073110,EOG8PP18P,FBgn0035510,CG15006,Cpr64Aa
gene10062,AAEL002092,,,,FBpp0081189,EOG8PP18P,FBgn0004783,CG2360,Ccp84Aa
gene10062,AAEL002092,,,,FBpp0079492,EOG8PP18P,FBgn0051876,CG31876,Cpr30F
gene10062,AAEL002092,,,,FBpp0081188,EOG8PP18P,FBgn0004780,CG2341,Ccp84Ad
gene10062,AAEL002092,,,,FBpp0081192,EOG8PP18P,FBgn0004779,CG1330,Ccp84Ae
gene10062,AAEL002092,,,,FBpp0081190,EOG8PP18P,FBgn0004782,CG1252,Ccp84Ab
gene10062,AAEL002092,,,,FBpp0083221,EOG8PP18P,FBgn0038714,CG6240,Cpr92A
gene10062,AAEL002092,,,,FBpp0081191,EOG8PP18P,FBgn0004781,CG1327,Ccp84Ac
gene10062,AAEL002092,,,,FBpp0079429,EOG8PP18P,FBgn0032125,CG3818,Cpr30B
gene10063,AAEL002101,,,,NA,NA,NA,NA,NA
gene10064,AAEL002089,,,,FBpp0083406,EOG837V5N,FBgn0026056,CG11622,Rlip
gene10065,AAEL002112,,,,FBpp0291243,EOG847JK4,FBgn0259986,CG33545,nab
gene10066,AAEL002126,,,,FBpp0073116,EOG8Z65D1,FBgn0011653,CG15002,mas
gene10067,AAEL002131,,,,FBpp0073113,EOG8MPMFH,FBgn0040697,CG18676,Teh3
gene10068,AAEL002090,,,,FBpp0305499,EOG8JQ6P0,FBgn0004656,CG2252,fs(1)h
gene10069,AAEL014763,,,,NA,NA,NA,NA,NA
gene1007,AAEL006725,,,,FBpp0077353,EOG8KM1TH,FBgn0031493,CG3605,CG3605
gene10070,AAEL014762,,,,FBpp0088863,EOG87H8G4,FBgn0039714,CG7816,Zip99C
gene10071,AAEL014761,,,,NA,NA,NA,NA,NA
gene10072,AAEL015537,,,,NA,NA,NA,NA,NA
gene10073,AAEL013921,,,,NA,NA,NA,NA,NA
gene10074,AAEL013918,,,,FBpp0088107,EOG8G1Q81,FBgn0033139,CG12837,Tsp42Er
gene10075,AAEL018268,,,,FBpp0292356,EOG8XPT65,FBgn0025641,CG14622,DAAM
gene10076,AAEL013917,,,,NA,NA,NA,NA,NA
gene10077,AAEL006360,AaegIr76b,IR,IR,FBpp0074638,EOG8SN4DB,FBgn0036937,CG7385,Ir76b
gene10078,AAEL006339,,,,FBpp0075290,EOG84N1HK,FBgn0052150,CG32150,CG32150
gene10078,AAEL006339,,,,FBpp0072378,EOG84N1HK,FBgn0035104,CG13875,CG13875
gene10079,AAEL006357,,,,NA,NA,NA,NA,NA
gene1008,AAEL006730,,,,FBpp0072830,EOG8QVG37,FBgn0010909,CG16973,msn
gene10080,AAEL006347,,,,NA,NA,NA,NA,NA
gene10081,AAEL006328,,,,NA,NA,NA,NA,NA
gene10082,AAEL006330,,,,FBpp0075315,EOG80GGG1,FBgn0267390,CG6498,dop
gene10083,AAEL006346,,,,FBpp0075353,EOG8G4KGW,FBgn0036505,CG7945,CG7945
gene10084,AAEL006359,,,,NA,NA,NA,NA,NA
gene10085,AAEL006333,,,,NA,NA,NA,NA,NA
gene10086,AAEL006361,,,,FBpp0077156,EOG81ZJ2S,FBgn0014033,CG4099,Sr-CI
gene10086,AAEL006361,,,,FBpp0077249,EOG81ZJ2S,FBgn0031547,CG3212,Sr-CIV
gene10086,AAEL006361,,,,FBpp0087112,EOG81ZJ2S,FBgn0020377,CG8856,Sr-CII
gene10086,AAEL006361,,,,FBpp0077155,EOG81ZJ2S,FBgn0020376,CG31962,Sr-CIII
gene10087,AAEL006356,,,,FBpp0075348,EOG81G5VT,FBgn0261109,CG7764,mrn
gene10088,AAEL006342,,,,NA,NA,NA,NA,NA
gene10089,AAEL006341,,,,FBpp0075408,EOG8P2SSW,FBgn0036481,CG16959,CG16959
gene1009,AAEL006753,,,,FBpp0087273,EOG8030JN,FBgn0033610,CG18335,CG18335
gene10090,AAEL006355,,,,FBpp0077156,EOG81ZJ2S,FBgn0014033,CG4099,Sr-CI
gene10090,AAEL006355,,,,FBpp0087112,EOG81ZJ2S,FBgn0020377,CG8856,Sr-CII
gene10090,AAEL006355,,,,FBpp0077155,EOG81ZJ2S,FBgn0020376,CG31962,Sr-CIII
gene10090,AAEL006355,,,,FBpp0077249,EOG81ZJ2S,FBgn0031547,CG3212,Sr-CIV
gene10091,AAEL006337,,,,FBpp0075316,EOG8FBMJ3,FBgn0036512,CG16979,CG16979
gene10092,AAEL006336,,,,NA,NA,NA,NA,NA
gene10093,AAEL006343,,,,FBpp0075349,EOG85TGCP,FBgn0036509,CG7739,CG7739
gene10094,AAEL006340,,,,FBpp0292437,EOG8SFCXV,FBgn0036480,CG17081,Cep135
gene10095,AAEL006354,,,,NA,NA,NA,NA,NA
gene10096,AAEL006326,,,,FBpp0074836,EOG864338,FBgn0036831,CG6839,CG6839
gene10096,AAEL006326,,,,FBpp0074815,EOG864338,FBgn0036833,CG3819,CG3819
gene10096,AAEL006326,,,,FBpp0075602,EOG864338,FBgn0036321,CG14120,CG14120
gene10097,AAEL006344,,,,NA,NA,NA,NA,NA
gene10098,AAEL006334,,,,NA,NA,NA,NA,NA
gene10099,AAEL006329,,,,FBpp0075310,EOG8G7FQH,FBgn0036504,CG7463,yellow-k
gene101,AAEL008892,,,,NA,NA,NA,NA,NA
gene1010,AAEL006722,Eclosion hormone (EH),neuropeptide,neuropeptide,FBpp0082885,EOG8SXR5Q,FBgn0000564,CG5400,Eh
gene10100,AAEL006350,,,,FBpp0074587,EOG805VS0,FBgn0036936,CG14185,CG14185
gene10101,AAEL006358,,,,NA,NA,NA,NA,NA
gene10102,AAEL018118,,,,FBpp0081255,EOG8M3D0W,FBgn0002542,CG2684,lds
gene10102,AAEL018118,,,,FBpp0081549,EOG8M3D0W,FBgn0037712,CG16789,CG16789
gene10103,AAEL006353,,,,NA,NA,NA,NA,NA
gene10104,AAEL006349,,,,NA,NA,NA,NA,NA
gene10105,AAEL006352,,,,FBpp0074639,EOG8ZW82W,FBgn0036935,CG14186,CG14186
gene10106,AAEL006335,,,,FBpp0082634,EOG89KJG3,FBgn0038366,CG4576,CG4576
gene10107,AAEL006338,,,,NA,NA,NA,NA,NA
gene10108,AAEL006348,,,,FBpp0074815,EOG864338,FBgn0036833,CG3819,CG3819
gene10108,AAEL006348,,,,FBpp0074836,EOG864338,FBgn0036831,CG6839,CG6839
gene10108,AAEL006348,,,,FBpp0075602,EOG864338,FBgn0036321,CG14120,CG14120
gene10109,AAEL006327,,,,NA,NA,NA,NA,NA
gene1011,AAEL006729,,,,NA,NA,NA,NA,NA
gene10110,AAEL006351,,,,NA,NA,NA,NA,NA
gene10111,AAEL006345,AaegOr39,OR,OR,FBpp0077499,EOG89368S,FBgn0026396,CG15377,Or22c
gene10111,AAEL006345,AaegOr39,OR,OR,FBpp0288403,EOG89368S,FBgn0026394,CG11767,Or24a
gene10111,AAEL006345,AaegOr39,OR,OR,FBpp0087602,EOG89368S,FBgn0033422,CG12931,Or45b
gene10111,AAEL006345,AaegOr39,OR,OR,FBpp0073393,EOG89368S,NA,NA,NA
gene10112,AAEL006815,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10112,AAEL006815,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10112,AAEL006815,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10113,AAEL006791,,,,FBpp0291301,EOG873SGH,FBgn0261261,CG42612,plx
gene10114,AAEL006816,,,,NA,NA,NA,NA,NA
gene10115,AAEL017984,,,,FBpp0292199,EOG8V726T,FBgn0261698,CG42732,CG42732
gene10116,AAEL006790,,,,NA,NA,NA,NA,NA
gene10117,AAEL006814,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10117,AAEL006814,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10117,AAEL006814,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10118,AAEL006812,,,,NA,NA,NA,NA,NA
gene10119,AAEL006805,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10119,AAEL006805,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10119,AAEL006805,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene1012,AAEL006744,,,,FBpp0076685,EOG8GQSWJ,FBgn0035707,CG8368,CG8368
gene10120,AAEL006782,,,,FBpp0081628,EOG8PK50D,FBgn0037770,CG5358,Art4
gene10121,AAEL006798,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10121,AAEL006798,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10121,AAEL006798,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10122,AAEL018123,,,,FBpp0082641,EOG8PZMXV,FBgn0051183,CG31183,CG31183
gene10123,AAEL006783,,,,FBpp0292801,EOG8MD0QK,FBgn0264495,CG42803,gpp
gene10124,AAEL006793,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10124,AAEL006793,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10124,AAEL006793,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10125,AAEL006794,,,,FBpp0086061,EOG86MF8T,FBgn0034246,CG6493,Dcr-2
gene10126,AAEL006811,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10126,AAEL006811,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10126,AAEL006811,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10127,AAEL006808,,,,FBpp0072227,EOG81RSKN,FBgn0035039,CG3608,CG3608
gene10128,AAEL006784,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10128,AAEL006784,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10128,AAEL006784,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10129,AAEL006795,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10129,AAEL006795,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10129,AAEL006795,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene1013,AAEL006748,,,,FBpp0087648,EOG81RSMQ,FBgn0033378,CG8781,tsu
gene10130,AAEL006800,,,,FBpp0086433,EOG8R52T2,FBgn0034049,CG8291,bdg
gene10131,AAEL006792,,,,FBpp0086621,EOG8VT8P7,NA,NA,NA
gene10132,AAEL017112,,,,NA,NA,NA,NA,NA
gene10133,AAEL006786,,,,FBpp0293883,EOG8XH2RP,FBgn0014380,CG9366,RhoL
gene10134,AAEL006802,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10134,AAEL006802,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10134,AAEL006802,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10135,AAEL006785,,,,FBpp0086103,EOG8W6RNM,FBgn0010409,CG6510,RpL18A
gene10136,AAEL006801,,,,FBpp0303474,EOG8R26KM,FBgn0015838,CG8075,Vang
gene10137,AAEL006799,,,,FBpp0087646,EOG8N33D4,FBgn0033376,CG8777,CG8777
gene10138,AAEL006787,,,,FBpp0078369,EOG8258K3,FBgn0037368,CG1239,CG1239
gene10139,AAEL018124,,,,FBpp0085445,EOG8FBMJ9,FBgn0013732,CG3273,sced
gene1014,AAEL006717,,,,FBpp0072637,EOG89CSZX,FBgn0035244,CG7955,ABCB7
gene10140,AAEL006809,,,,FBpp0311138,EOG8NP9TM,FBgn0002917,CG1517,na
gene10141,AAEL006797,,,,FBpp0082655,EOG8FJC16,FBgn0038385,CG4221,Fbxl7
gene10142,AAEL006788,,,,FBpp0074246,EOG8TF3BD,FBgn0030871,CG8142,CG8142
gene10143,AAEL006789,,,,FBpp0074237,EOG8TQQ2J,FBgn0000617,CG6474,e(y)1
gene10144,AAEL018030,,,,FBpp0088127,EOG85MQX1,FBgn0015038,CG4485,Cyp9b1
gene10144,AAEL018030,,,,FBpp0088126,EOG85MQX1,FBgn0015039,CG4486,Cyp9b2
gene10144,AAEL018030,,,,FBpp0082070,EOG85MQX1,FBgn0038037,CG11466,Cyp9f2
gene10145,AAEL007594,,,,FBpp0083753,EOG8BCHD1,FBgn0039044,CG33336,p53
gene10146,AAEL007590,,,,NA,NA,NA,NA,NA
gene10147,AAEL007592,,,,NA,NA,NA,NA,NA
gene10148,AAEL007588,,,,NA,NA,NA,NA,NA
gene10149,AAEL007587,,,,NA,NA,NA,NA,NA
gene1015,AAEL006740,,,,FBpp0083856,EOG83FKND,FBgn0039113,CG10217,CG10217
gene10150,AAEL007597,,,,FBpp0082184,EOG89368V,FBgn0003450,CG7996,snk
gene10151,AAEL007596,,,,NA,NA,NA,NA,NA
gene10152,AAEL007586,,,,FBpp0083851,EOG8CNTG7,FBgn0039120,CG10198,Nup98-96
gene10153,AAEL007589,,,,FBpp0293271,EOG8RR97F,FBgn0015513,CG10379,mbc
gene10154,AAEL007595,,,,FBpp0083753,EOG8BCHD1,FBgn0039044,CG33336,p53
gene10155,AAEL007593,,,,FBpp0082184,EOG89368V,FBgn0003450,CG7996,snk
gene10156,AAEL007598,,,,FBpp0303116,EOG8GMXNM,FBgn0041105,CG12809,nerfin-2
gene10157,AAEL007583,,,,NA,NA,NA,NA,NA
gene10158,AAEL007584,,,,FBpp0079667,EOG8R26M7,FBgn0003751,CG5619,trk
gene10159,AAEL007599,,,,NA,NA,NA,NA,NA
gene1016,AAEL006750,,,,NA,NA,NA,NA,NA
gene10160,AAEL007591,,,,NA,NA,NA,NA,NA
gene10161,AAEL007585,,,,NA,NA,NA,NA,NA
gene10162,AAEL009165,,,,FBpp0086273,EOG8CC6T7,FBgn0034131,CG15712,CG15712
gene10162,AAEL009165,,,,FBpp0072030,EOG8CC6T7,FBgn0034871,CG3906,CG3906
gene10162,AAEL009165,,,,FBpp0086301,EOG8CC6T7,FBgn0034126,CG4398,CG4398
gene10162,AAEL009165,,,,FBpp0078785,EOG8CC6T7,FBgn0031747,CG9021,CG9021
gene10163,AAEL009164,,,,FBpp0084088,EOG8S1X12,FBgn0043799,CG31381,CG31381
gene10164,AAEL009166,,,,FBpp0072030,EOG8CC6T7,FBgn0034871,CG3906,CG3906
gene10164,AAEL009166,,,,FBpp0086301,EOG8CC6T7,FBgn0034126,CG4398,CG4398
gene10164,AAEL009166,,,,FBpp0078785,EOG8CC6T7,FBgn0031747,CG9021,CG9021
gene10164,AAEL009166,,,,FBpp0086273,EOG8CC6T7,FBgn0034131,CG15712,CG15712
gene10165,AAEL009163,,,,NA,NA,NA,NA,NA
gene10166,AAEL014997,,,,FBpp0099875,EOG8JMBH0,FBgn0053155,CG33155,CG33155
gene10167,AAEL014996,,,,FBpp0099679,EOG8SR0PJ,FBgn0050481,CG30481,mRpL53
gene10168,AAEL004536,,,,FBpp0073483,EOG86T5T1,FBgn0030394,CG2560,Cpr11A
gene10169,AAEL004515,,,,FBpp0079924,EOG8K0TDT,FBgn0032421,CG17218,crok
gene1017,AAEL006756,,,,NA,NA,NA,NA,NA
gene10170,AAEL004531,,,,NA,NA,NA,NA,NA
gene10171,AAEL004528,,,,NA,NA,NA,NA,NA
gene10172,AAEL004525,,,,NA,NA,NA,NA,NA
gene10173,AAEL004540,,,,NA,NA,NA,NA,NA
gene10174,AAEL004526,,,,FBpp0087461,EOG87H8FD,FBgn0033454,CG1671,CG1671
gene10175,AAEL004513,,,,FBpp0074983,EOG8QNQMW,FBgn0036727,CG7589,CG7589
gene10175,AAEL004513,,,,FBpp0070689,EOG8QNQMW,FBgn0029733,CG6927,CG6927
gene10176,AAEL004520,,,,FBpp0111456,EOG8HX7RG,FBgn0085370,CG34341,Pde11
gene10177,AAEL004533,,,,FBpp0304318,EOG8RZ1QK,FBgn0051760,CG31760,CG31760
gene10178,AAEL004524,,,,NA,NA,NA,NA,NA
