gene_id,vectorbase,chemo,family
gene15646,AAEL018069,AaegIr106.1,
gene15921,AAEL011804,AaegIr107.1,
gene15706,AAEL018081,AaegIr119,
gene15751,AAEL007786,AaegIr120,
gene15893,AAEL013366,AaegIr21a,
gene12514,AAEL009813,AaegIr25a,
gene15691,AAEL013153,AaegIr31a,
gene15971,AAEL014270,AaegIr40a,
gene15958,AAEL018084,AaegIr40b,
gene8096,AAEL000007,AaegIr41a.1,
gene15662,AAEL000031,AaegIr41a.2,
gene8174,AAEL000027,AaegIr41d.1,
gene16175,AAEL015429,AaegIr41d.2,
gene8158,AAEL000095,AaegIr41d.3,
gene8098,AAEL000011,AaegIr41e,
gene8137,AAEL018359,AaegIr41g,
gene8090,AAEL000047,AaegIr41i,
gene8172,AAEL000018,AaegIr41j,
gene8156,AAEL000066,AaegIr41k,
gene8161,AAEL000089,AaegIr41n,
gene15674,AAEL000039,AaegIr41o,
gene15664,AAEL000063,AaegIr41p.1,
gene15668,AAEL018060,AaegIr41p.2,
gene8110,AAEL018060,AaegIr41p.2,
gene760,AAEL003440,AaegIr60a,
gene3617,AAEL010880,AaegIr64a,
gene3319,AAEL005039,AaegIr68a,
gene988,AAEL018077,AaegIr75d,
gene15862,AAEL010775,AaegIr75e.3,
gene15749,AAEL013198,AaegIr75i,
gene15704,AAEL014089,AaegIr75k.1,
gene4541,AAEL014085,AaegIr75k.2,
gene15703,AAEL014087_AAEL014085,AaegIr75k.3,
gene4538,AAEL014087,AaegIr75k.3s,
gene16176,AAEL015479,AaegIr75k.4,
gene3273,AAEL005875,AaegIr75l,
gene4542,AAEL014086,AaegIr75o,
gene10077,AAEL006360,AaegIr76b,
gene15677,AAEL014115,AaegIr7h.1,
gene16173,AAEL015227,AaegIr7h.2,
gene15628,AAEL000413,AaegIr7j,
gene2232,AAEL003340,AaegIr7k.1,
gene15631,AAEL000462,AaegIr7l,
gene2218,AAEL003335,AaegIr7m.1,
gene2215,AAEL003353,AaegIr7n.1,
gene790,AAEL014690,AaegIr7n.2,
gene2249,AAEL003329,AaegIr7q.1,
gene15653,AAEL003341,AaegIr7q.2,
gene15780,AAEL014688,AaegIr7r.1,
gene3552,AAEL015149,AaegIr7r.2,
gene3551,AAEL015150,AaegIr7s.2,
gene15632,AAEL018099,AaegIr7v.1,
gene15630,AAEL018100,AaegIr7v.2,
gene7977,AAEL018101,AaegIr7v.3,
gene2231,AAEL003328,AaegIr7y.1,
gene794,AAEL014686,AaegIr7y.2,
gene15654,AAEL003350,AaegIr7z.1,
gene15781,AAEL018007,AaegIr7z.2,
gene4257,AAEL011691,AaegIr87a.1,
gene4252,AAEL011690,AaegIr87a.2,
gene12116,AAEL002922,AaegIr8a,
gene10991,AAEL011001,AaegIr92a,
gene15248,AAEL005012,AaegIr93a,
gene3039,AAEL006454,AaegObp1,
gene4244,AAEL007603,AaegObp10,
gene6835,AAEL002587,AaegObp11,
gene6831,AAEL002617,AaegObp12,
gene6825,AAEL002591,AaegObp13,
gene6830,AAEL002605,AaegObp14,
gene6837,AAEL002598,AaegObp15,
gene13698,AAEL003315,AaegObp16,
gene8556,AAEL004339,AaegObp17,
gene8567,AAEL004342,AaegObp18,
gene8553,AAEL004343,AaegObp19,
gene8154,AAEL000071,AaegObp2,
gene14508,AAEL005778,AaegObp20,
gene14501,AAEL005770,AaegObp21,
gene14492,AAEL005772,AaegObp22,
gene13055,AAEL006109,AaegObp23,
gene13058,AAEL006108,AaegObp24,
gene15865,AAEL006103,AaegObp25,
gene13049,AAEL006106,AaegObp26,
gene15710,AAEL006176,AaegObp27,
gene15737,AAEL006393,AaegObp28,
gene15738,AAEL006393,AaegObp29,
gene8092,AAEL000051,AaegObp3,
gene15739,AAEL006387,AaegObp30,
gene8439,AAEL006396,AaegObp31,
gene8434,AAEL006398,AaegObp32,
gene8445,AAEL006385,AaegObp33,
gene13018,AAEL014082,AaegObp34,
gene6840,AAEL002606,AaegObp35,
gene11600,AAEL008011,AaegObp36,
gene11603,AAEL008009,AaegObp37,
gene11602,AAEL008013,AaegObp38,
gene5261,AAEL009449,AaegObp39,
gene8132,AAEL000073,AaegObp4,
gene2365,AAEL009597,AaegObp40,
gene2364,AAEL009599,AaegObp41,
gene939,AAEL010662AAEL010666,"AaegObp43, AaegObp42",
gene13822,AAEL010718,AaegObp44,
gene13821,AAEL010714,AaegObp45,
gene8539,AAEL010872,AaegObp46,
gene12825,AAEL011499,AaegObp47,
gene12816,AAEL011494,AaegObp48,
gene12815,AAEL011484,AaegObp49,
gene2904,AAEL000139,AaegObp5,
gene12831,AAEL011490,AaegObp50,
gene12832,AAEL011487,AaegObp51,
gene12817,AAEL011491,AaegObp52,
gene12828,AAEL011482,AaegObp53,
gene12819,AAEL011481,AaegObp54,
gene8421,AAEL012377,AaegObp55,
gene10289,AAEL013018,AaegObp56,
gene8100,AAEL000035,AaegObp57,
gene1681,AAEL014430,AaegObp58,
gene6169,AAEL015313,AaegObp59,
gene13994,AAEL000821,AaegObp6,
gene11116,AAEL015499,AaegObp60,
gene9285,AAEL015554,AaegObp61,
gene7483,AAEL015566AAEL015567,"AaegObp62, AaegObp63",
gene15762,AAEL018102,AaegObp64,
gene6824,AAEL002618,AaegObp65,
gene6849,AAEL002626,AaegObp66,
gene13961,AAEL000833,AaegObp7,
gene12339,AAEL001826,AaegObp8,
gene6846,AAEL002596,AaegObp9,
gene10775,AAEL016970,AaegOr1,
gene8965,AAEL006003,AaegOr10,
gene14669,AAEL011409,AaegOr100,
gene3152,AAEL017050,AaegOr101,
gene1506,AAEL017143,AaegOr102,
gene8278,AAEL017505,AaegOr103,
gene2979,AAEL016966,AaegOr104,
gene2976,AAEL017014,AaegOr105,
gene15842,AAEL017105,AaegOr106,
gene11069,AAEL017316,AaegOr107,
gene15841,AAEL018070,AaegOr108,
gene5566,AAEL017028,AaegOr109,
gene4859,AAEL011583,AaegOr11,
gene7514,AAEL016983,AaegOr110,
gene16001,AAEL017178,AaegOr111,
gene16002,AAEL018095,AaegOr112,
gene13692,AAEL017123,AaegOr113,
gene14815,AAEL017219,AaegOr114,
gene14816,AAEL017361,AaegOr115,
gene15909,AAEL018086,AaegOr116,
gene15193,AAEL017377,AaegOr117,
gene15881,AAEL018107,AaegOr118,
gene14981,AAEL017009,AaegOr119,
gene9269,AAEL009982,AaegOr12,
gene15948,AAEL018087,AaegOr120,
gene9608,AAEL017104,AaegOr121,
gene9609,AAEL013563,AaegOr122,
gene5735,AAEL017537,AaegOr123,
gene10511,AAEL001617,AaegOr124,
gene2322,AAEL013893,AaegOr125,
gene13310,AAEL017370,AaegOr126,
gene2980,AAEL017271,AaegOr127,
gene6640,AAEL005680,AaegOr128,
gene15825,RU285,AaegOr129,
gene4014,AAEL008368,AaegOr13,
gene15190,AAEL017285,AaegOr130,
gene15782,RU261,AaegOr131,
gene12411,AAEL008442,AaegOr14,
gene12416,AAEL008448,AaegOr15,
gene8515,AAEL007110,AaegOr16,
gene1055,AAEL010702,AaegOr17,
gene15840,AAEL017510,AaegOr18,
gene8519,AAEL017017,AaegOr19,
gene8964,AAEL005999,AaegOr2,
gene14620,AAEL004966,AaegOr20,
gene14636,AAEL017398,AaegOr21,
gene15816,AAEL002479,AaegOr22,
gene12976,AAEL001510,AaegOr23,
gene14626,AAEL017557,AaegOr24,
gene9627,AAEL003629,AaegOr25,
gene3233,AAEL010428,AaegOr26,
gene3256,AAEL010418,AaegOr27,
gene3113,AAEL000391,AaegOr28,
gene15756,AAEL017138,AaegOr3,
gene3236,AAEL010409,AaegOr30,
gene5692,AAEL013217,AaegOr31,
gene8583,AAEL017362,AaegOr33,
gene11294,AAEL003395,AaegOr34,
gene10774,AAEL015310,AaegOr35,
gene10648,AAEL016981,AaegOr36,
gene11313,AAEL003369,AaegOr37,
gene15967,AAEL005489,AaegOr38,
gene10111,AAEL006345,AaegOr39,
gene7459,AAEL015147,AaegOr4,
gene14502,AAEL005767,AaegOr40,
gene14944,AAEL003045,AaegOr41,
gene1360,AAEL000616,AaegOr42,
gene3038,AAEL017294,AaegOr43,
gene15824,AAEL006465,AaegOr44,
gene1361,AAEL000613,AaegOr45,
gene2207,AAEL017174,AaegOr46,
gene3248,AAEL017079,AaegOr47,
gene8476,AAEL011895,AaegOr48,
gene2867,AAEL001303,AaegOr49,
gene9065,AAEL011843,AaegOr5,
gene3257,AAEL010426,AaegOr50,
gene15845,AAEL018080,AaegOr51,
gene4613,AAEL013507,AaegOr52,
gene15844,AAEL018079,AaegOr53,
gene16174,AAEL015286,AaegOr54,
gene3240,AAEL010415,AaegOr55,
gene3258,AAEL017534,AaegOr56,
gene15843,AAEL010410,AaegOr57,
gene2482,AAEL006202,AaegOr58,
gene3745,AAEL001342,AaegOr59,
gene7502,AAEL017548,AaegOr6,
gene9984,AAEL017041,AaegOr60,
gene9969,AAEL017277,AaegOr61,
gene15290,AAEL011796,AaegOr62,
gene1353,AAEL000628,AaegOr63,
gene15879,AAEL000614,AaegOr64,
gene195,AAEL015506,AaegOr65,
gene9635,AAEL017227,AaegOr66,
gene5517,AAEL017260,AaegOr67,
gene15721,AAEL018076,AaegOr68,
gene12238,AAEL001221,AaegOr69,
gene14494,AAEL005776,AaegOr7,
gene7651,AAEL001224,AaegOr70,
gene15806,AAEL017564,AaegOr71,
gene14667,AAEL017129,AaegOr72,
gene15724,AAEL006192,AaegOr73,
gene2478,AAEL006195,AaegOr74,
gene11110,AAEL013419,AaegOr75,
gene11109,AAEL013418,AaegOr76,
gene11111,AAEL013422,AaegOr77,
gene11112,AAEL013423,AaegOr78,
gene11108,AAEL013420,AaegOr79,
gene13937,AAEL012254,AaegOr8,
gene5545,AAEL017221,AaegOr80,
gene5536,AAEL017305,AaegOr81,
gene15754,RU245,AaegOr82,
gene15752,RU243,AaegOr83,
gene5532,AAEL017043,AaegOr84,
gene5531,AAEL004218,AaegOr85,
gene9818,AAEL017246,AaegOr86,
gene12615,AAEL017347,AaegOr87,
gene13247,AAEL014197,AaegOr88,
gene13573,AAEL017125,AaegOr89,
gene8977,AAEL006005,AaegOr9,
gene13580,AAEL017037,AaegOr90,
gene7650,AAEL017149,AaegOr91,
gene7645,AAEL017065,AaegOr92,
gene7642,AAEL017296,AaegOr93,
gene6059,AAEL017201,AaegOr94,
gene3548,AAEL017495,AaegOr95,
gene3211,AAEL017427,AaegOr96,
gene15637,AAEL017000,AaegOr97,
gene2940,AAEL017463,AaegOr98,
gene4361,AAEL017236,AaegOr99,
gene11370,AAEL012141,Ace,
gene5774,AAEL000511,Ace,
gene6368,AAEL011996,Adipokinetic hormone 1 (AKH1),
gene11822,AAEL011325,AKH receptor,
gene14862,AAEL015251,Allatostatin A,
gene11366,AAEL012139,Allatostatin B/myoinhibiting peptide,
gene7211,AAEL009541,Allatropin (AT),
gene12592,AAEL007169,Allostatin A receptor,
gene4928,AAEL006076,Allostatin A receptor,
gene10786,AAEL013722,Bursicon,
gene4529,AAEL004777,Bursicon receptor,
gene3995,AAEL005444,CAPA,
gene10564,AAEL017544,CAPA/pyrokinin receptor,
gene13092,AAEL017414,CAPA/pyrokinin receptor,
gene7767,AAEL017341,CAPA/pyrokinin receptor,
gene272,AAEL008655,CCAP receptor,
gene9462,AAEL002506,CG3822,
gene6423,AAEL010471,Chat,
gene9440,AAEL002538,clumsy,
gene9467,AAEL002518,clumsy,
gene9477,AAEL002509,clumsy,
gene5630,AAEL011475,Corazonin receptor,
gene1368,AAEL000630,Crustacean cardioactive peptide (CCAP),
gene9236,AAEL007372,D-GABA-B-R1,
gene3252,AAEL010408,D-GABA-B-R2,
gene5012,AAEL007709,D-GABA-B-R3,
gene12320,AAEL011088,Dat,
gene8352,AAEL010106,DAT,
gene12837,AAEL014238,Ddc,
gene4903,AAEL010737,Ddc,
gene13204,AAEL008070,Diuretic hormone 31,
gene3279,AAEL005894,Diuretic hormone 44 receptor,
gene5340,AAEL008292,Diuretic hormone 44 receptor,
gene5348,AAEL008287,Diuretic hormone 44 receptor,
gene7729,AAEL010043,diuretic horomone 31 receptor,
gene6320,AAEL006283,DMS receptor,
gene8803,AAEL005834,Dop1R2,
gene12552,AAEL014373,Dop2R,
gene1604,AAEL017166,Dop2R,
gene6014,AAEL003920,DopR,
gene1996,AAEL006636,Drosokinin receptor,
gene7556,AAEL011026,Drosokinin receptor,
gene6270,AAEL005581,dSERT,
gene2663,AAEL017098,Dth,
gene11855,AAEL000780,dVGAT,
gene12728,AAEL001867,dVGLUT,
gene3892,AAEL008816,dVMAT,
gene11561,AAEL001762,Ecdysis-triggering hormone (ETH),
gene1010,AAEL006722,Eclosion hormone (EH),
gene4612,AAEL014409,Eclosion hormone (EH),
gene6474,AAEL011229,Eclosion hormone (EH),
gene7019,AAEL015552,Eclosion hormone (EH),
gene6623,AAEL008387,Eclosion hormone receptor,
gene7183,AAEL013645,FMRFamide,
gene11304,AAEL003378,FMRFamide receptor,
gene7779,AAEL015604,FMRFamide receptor,
gene3477,AAEL003747,FMRFamide/Hug-PkD receptor,
gene7883,AAEL011981,Gad1,
gene15368,AAEL007542,Gad2,
gene6517,AAEL018149,GluRI,
gene9464,AAEL002511,GluRIID,
gene9465,AAEL002512,GluRIIE,
gene6121,AAEL001474,Glycoprotein hormone beta 5 (GPB5),
gene5329,AAEL004399,GPA2/Hug/PKd receptor,
gene15542,AAEL006047,HisCl1,
gene13936,AAEL012248,HisCl2,
gene6002,AAEL012060,Hugin/pyrokinin,
gene8946,AAEL009258,iav,
gene5043,AAEL002317,ILP receptor,
gene2074,AAEL006412,ine,
gene140,AAEL003000,Insulin-like peptide 7 (ILP7),
gene11574,AAEL001777,Ion transport peptide (ITP),
gene15429,AAEL015332,Ion transport peptide (ITP),
gene14179,RU164,IR_RU1,
gene15671,RU199,IR_RU2,
gene13810,AAEL010710,LCCH3,
gene13756,AAEL008566,LD11,
gene3122,AAEL017181,mAChR,
gene14421,AAEL007832,mAChR-B,
gene564,AAEL015037,mAChR-B,
gene15786,AAEL012385,Myoinhibiting peptide receptor,
gene6935,AAEL012356,myoinhibiting peptide receptor,
gene7588,AAEL017410,myoinhibiting peptide receptor,
gene9080,AAEL012920,myoinhibiting peptide receptor,
gene9501,AAEL003473,myoinhibiting peptide receptor,
gene11202,AAEL007924,myoinhibiting peptide/tachykinin receptor,
gene15283,AAEL013505,myoinhibiting peptide/tachykinin receptor,
gene15471,AAEL007294,Myosuppressin (DMS),
gene7611,AAEL010570,nAChR_1,
gene14773,AAEL004006,nAChR_1_,
gene14777,AAEL004032,nAChR_2,
gene14800,AAEL018308,nAChR_2,
gene6721,AAEL004061,nAChR_3,
gene12703,AAEL012106,nAChR_4,
gene570,AAEL018352,nAChR_5,
gene13200,AAEL008055,nAChR_6,
gene7110,AAEL007664,nAChR_7,
gene9679,AAEL001123,nan,
gene1387,AAEL004155,Neuroparsin,
gene14831,AAEL002733,Neuropeptide F (NPF),
gene11292,AAEL014708,Neuropeptide-like precursor 1 (NPLP1),
gene7664,AAEL012640,Neuropeptide-like precursor 1 (NPLP1),
gene5245,AAEL008587,Nmdar1,
gene4609,AAEL013695,Nmdar2,
gene9392,AAEL008090,Nmdar2,
gene2852,AAEL008338,nompc,
gene6292,AAEL011679,nompc,
gene4305,AAEL010626,NPF receptor/NPYLR7b,
gene11721,AAEL010929,NPYLR1,
gene14539,AAEL012190,NPYLR2,
gene14603,AAEL017036,NPYLR3,
gene7148,AAEL011680,NPYLR3b,
gene3992,AAEL017005,NPYLR4,
gene9935,AAEL004245,NPYLR5,
gene8679,AAEL015418,NPYLR6,
gene4099,AAEL008296,NPYLR7a,
gene1230,AAEL017313,NPYLR8,
gene2898,AAEL016990,OAMB,
gene4547,AAEL014224,OAMB,
gene3684,AAEL005945,Oct_1R/2R,
gene3671,AAEL005952,Oct_3R,
gene12543,AAEL006844,Oct-TyrR,
gene15807,RU270,octR,
gene12541,AAEL006835,painless,
gene7213,AAEL009529,painless,
gene7214,AAEL009536,painless,
gene911,AAEL009024,PDF receptor,
gene11573,AAEL001754,Pigment-dispersing factor (PDF),
gene11000,AAEL013219,ppk10,
gene1183,AAEL010534,ppk10,
gene10535,AAEL006613,ppk13,
gene13236,AAEL006258,ppk15,
gene9054,AAEL010779,ppk16,
gene6186,AAEL005729,ppk17,
gene13798,AAEL014009,ppk23,
gene13799,AAEL014010,ppk23,
gene15576,AAEL002575,ppk24,
gene7184,AAEL013647,ppk25,
gene11525,AAEL000582,ppk28,
gene7933,AAEL000443,ppk3,
gene1378,AAEL012795,ppk31,
gene9524,AAEL003486,ppk6,
gene3871,AAEL008809,ppk9,
gene9202,AAEL003714,ppkX,
gene10525,AAEL013238,prt,
gene3107,AAEL000384,prt,
gene9326,AAEL010923,PTTH receptor,
gene1420,AAEL004179,pyx,
gene227,AAEL008354,RDL,
gene2155,AAEL007405,sex peptide receptor,
gene4957,AAEL010313,sex peptide receptor,
gene9322,AAEL012542,short neuropeptide F (sNPF),
gene12392,AAEL009865,SIFamide,
gene979,AAEL009698,SIFamide receptor,
gene8104,AAEL017335,sNPF receptor,
gene1379,AAEL012796,sNPF/ receptor,
gene6150,AAEL006644,Tachykinin (TK),
gene2763,AAEL006947,Tachykinin receptor,
gene7017,AAEL010856,Tbh,
gene9515,AAEL018302,TDC2,
gene3996,AAEL005437,TRP,
gene9597,AAEL009419,TRPA1,
gene3322,AAEL005014,TRPgamma,
gene6271,AAEL005586,TRPl,
gene8293,AAEL018210,TRPm,
gene4143,AAEL001557,TRPml,
gene5326,AAEL004396,TyrR,
gene5334,AAEL004398,TyrRII,
gene6436,AAEL010462,VAchT,
gene15875,RU318,wtrw,
gene1,AAEL009972,,
gene10,AAEL009960,,
gene100,AAEL008895,,
gene1000,AAEL006735,,
gene10000,AAEL009664,,
gene10001,AAEL017426,,
gene10002,AAEL009669,,
gene10003,AAEL009667,,
gene10004,AAEL009670,,
gene10005,AAEL009668,,
gene10006,AAEL009725,,
gene10007,AAEL009718,,
gene10008,AAEL009717,,
gene10009,AAEL009715,,
gene1001,AAEL006751,,
gene10010,AAEL009726,,
gene10011,AAEL009729,,
gene10012,AAEL009730,,
gene10013,AAEL009727,,
gene10014,AAEL009724,,
gene10015,AAEL009721,,
gene10016,AAEL009716,,
gene10017,AAEL009722,,
gene10018,AAEL009728,,
gene10019,AAEL009720,,
gene1002,AAEL006723,,
gene10020,AAEL009723,,
gene10021,AAEL009719,,
gene10022,AAEL002133,,
gene10023,AAEL002105,,
gene10024,AAEL002134,,
gene10025,AAEL002093,,
gene10026,AAEL002114,,
gene10027,AAEL002100,,
gene10028,AAEL002132,,
gene10029,AAEL002106,,
gene1003,AAEL006732,,
gene10030,AAEL002091,,
gene10031,AAEL002119,,
gene10032,AAEL002120,,
gene10033,AAEL002109,,
gene10034,AAEL002115,,
gene10035,AAEL002110,,
gene10036,AAEL002104,,
gene10037,AAEL002124,,
gene10038,AAEL002098,,
gene10039,AAEL002113,,
gene1004,AAEL006721,,
gene10040,AAEL002102,,
gene10041,AAEL002095,,
gene10042,AAEL002107,,
gene10043,AAEL002108,,
gene10044,AAEL018091,,
gene10045,AAEL002127,,
gene10046,AAEL002094,,
gene10047,AAEL002111,,
gene10048,AAEL002121,,
gene10049,AAEL002118,,
gene1005,AAEL006746,,
gene10050,AAEL002128,,
gene10051,AAEL002125,,
gene10052,AAEL002099,,
gene10053,AAEL002116,,
gene10054,AAEL002088,,
gene10055,AAEL002117,,
gene10056,AAEL002096,,
gene10057,AAEL002130,,
gene10058,AAEL002123,,
gene10059,AAEL002097,,
gene1006,AAEL006741,,
gene10060,AAEL002122,,
gene10061,AAEL002103,,
gene10062,AAEL002092,,
gene10063,AAEL002101,,
gene10064,AAEL002089,,
gene10065,AAEL002112,,
gene10066,AAEL002126,,
gene10067,AAEL002131,,
gene10068,AAEL002090,,
gene10069,AAEL014763,,
gene1007,AAEL006725,,
gene10070,AAEL014762,,
gene10071,AAEL014761,,
gene10072,AAEL015537,,
gene10073,AAEL013921,,
gene10074,AAEL013918,,
gene10075,AAEL018268,,
gene10076,AAEL013917,,
gene10078,AAEL006339,,
gene10079,AAEL006357,,
gene1008,AAEL006730,,
gene10080,AAEL006347,,
gene10081,AAEL006328,,
gene10082,AAEL006330,,
gene10083,AAEL006346,,
gene10084,AAEL006359,,
gene10085,AAEL006333,,
gene10086,AAEL006361,,
gene10087,AAEL006356,,
gene10088,AAEL006342,,
gene10089,AAEL006341,,
gene1009,AAEL006753,,
gene10090,AAEL006355,,
gene10091,AAEL006337,,
gene10092,AAEL006336,,
gene10093,AAEL006343,,
gene10094,AAEL006340,,
gene10095,AAEL006354,,
gene10096,AAEL006326,,
gene10097,AAEL006344,,
gene10098,AAEL006334,,
gene10099,AAEL006329,,
gene101,AAEL008892,,
gene10100,AAEL006350,,
gene10101,AAEL006358,,
gene10102,AAEL018118,,
gene10103,AAEL006353,,
gene10104,AAEL006349,,
gene10105,AAEL006352,,
gene10106,AAEL006335,,
gene10107,AAEL006338,,
gene10108,AAEL006348,,
gene10109,AAEL006327,,
gene1011,AAEL006729,,
gene10110,AAEL006351,,
gene10112,AAEL006815,,
gene10113,AAEL006791,,
gene10114,AAEL006816,,
gene10115,AAEL017984,,
gene10116,AAEL006790,,
gene10117,AAEL006814,,
gene10118,AAEL006812,,
gene10119,AAEL006805,,
gene1012,AAEL006744,,
gene10120,AAEL006782,,
gene10121,AAEL006798,,
gene10122,AAEL018123,,
gene10123,AAEL006783,,
gene10124,AAEL006793,,
gene10125,AAEL006794,,
gene10126,AAEL006811,,
gene10127,AAEL006808,,
gene10128,AAEL006784,,
gene10129,AAEL006795,,
gene1013,AAEL006748,,
gene10130,AAEL006800,,
gene10131,AAEL006792,,
gene10132,AAEL017112,,
gene10133,AAEL006786,,
gene10134,AAEL006802,,
gene10135,AAEL006785,,
gene10136,AAEL006801,,
gene10137,AAEL006799,,
gene10138,AAEL006787,,
gene10139,AAEL018124,,
gene1014,AAEL006717,,
gene10140,AAEL006809,,
gene10141,AAEL006797,,
gene10142,AAEL006788,,
gene10143,AAEL006789,,
gene10144,AAEL018030,,
gene10145,AAEL007594,,
gene10146,AAEL007590,,
gene10147,AAEL007592,,
gene10148,AAEL007588,,
gene10149,AAEL007587,,
gene1015,AAEL006740,,
gene10150,AAEL007597,,
gene10151,AAEL007596,,
gene10152,AAEL007586,,
gene10153,AAEL007589,,
gene10154,AAEL007595,,
gene10155,AAEL007593,,
gene10156,AAEL007598,,
gene10157,AAEL007583,,
gene10158,AAEL007584,,
gene10159,AAEL007599,,
gene1016,AAEL006750,,
gene10160,AAEL007591,,
gene10161,AAEL007585,,
gene10162,AAEL009165,,
gene10163,AAEL009164,,
gene10164,AAEL009166,,
gene10165,AAEL009163,,
gene10166,AAEL014997,,
gene10167,AAEL014996,,
gene10168,AAEL004536,,
gene10169,AAEL004515,,
gene1017,AAEL006756,,
gene10170,AAEL004531,,
gene10171,AAEL004528,,
gene10172,AAEL004525,,
gene10173,AAEL004540,,
gene10174,AAEL004526,,
gene10175,AAEL004513,,
gene10176,AAEL004520,,
gene10177,AAEL004533,,
gene10178,AAEL004524,,
gene10179,AAEL004539,,
gene1018,AAEL006724,,
gene10180,AAEL004518,,
gene10181,AAEL004514,,
gene10182,AAEL004530,,
gene10183,AAEL004537,,
gene10184,AAEL004517,,
gene10185,AAEL004511,,
gene10186,AAEL004522,,
gene10187,AAEL004512,,
gene10188,AAEL004516,,
gene10189,AAEL004532,,
gene1019,AAEL006754,,
gene10190,AAEL004529,,
gene10191,AAEL004535,,
gene10192,AAEL004521,,
gene10193,AAEL004527,,
gene10194,AAEL004538,,
gene10195,AAEL004519,,
gene10196,AAEL004523,,
gene10197,AAEL017243,,
gene10198,AAEL004534,,
gene10199,AAEL011822,,
gene102,AAEL008904,,
